"Time [s]";"Beat Sys [mmHg]";"Beat Mean [mmHg]";"Beat Dia [mmHg]";"Beat HR [bpm]";"NBP Sys [mmHg]";"NBP Dia [mmHg]";"Event";"Height Offset [cm]";
242.99;124;98;88;77;;;;;
243.69;124;98;88;77;;;;;
244.43;124;98;88;77;;;;;
245.46;124;98;88;77;;;;;
246.44;124;98;88;77;;;;;
247.35;131;102;90;66;;;;;
248.23;131;102;90;66;;;;;
249.04;131;102;90;66;;;;;
249.80;131;102;90;66;;;;;
250.53;131;102;90;66;;;;;
251.25;132;104;93;79;;;;;
252.00;132;104;93;79;;;;;
253.00;132;104;93;79;;;;;
254.00;132;104;93;79;;;;;
254.94;132;104;93;79;;;;;
255.84;130;102;90;66;;;;;
256.69;130;102;90;66;;;;;
257.47;130;102;90;66;;;;;
258.21;130;102;90;66;;;;;
258.92;130;102;90;66;;;;;
259.63;129;100;88;80;;;;;
260.36;129;100;88;80;;;;;
261.37;129;100;88;80;;;;;
262.36;129;100;88;80;;;;;
263.28;129;100;88;80;;;;;
264.14;131;101;89;67;;;;;
264.96;131;101;89;67;;;;;
265.74;131;101;89;67;;;;;
266.49;131;101;89;67;;;;;
267.23;131;101;89;67;;;;;
267.95;127;95;84;79;;;;;
268.67;127;95;84;79;;;;;
269.40;127;95;84;79;;;;;
270.23;127;95;84;79;;;;;
271.11;127;95;84;79;;;;;
271.97;127;94;82;72;;;;;
272.79;127;94;82;72;;;;;
273.57;127;94;82;72;;;;;
274.32;127;94;82;72;;;;;
275.02;127;94;82;72;;;;;
275.71;116;86;76;82;;;;;
276.39;116;86;76;82;;;;;
277.06;116;86;76;82;;;;;
277.74;116;86;76;82;;;;;
278.46;116;86;76;82;;;;;
279.28;118;92;80;81;;;;;
280.13;118;92;80;81;;;;;
280.94;118;92;80;81;;;;;
281.71;118;92;80;81;;;;;
281.79;;;;;;;"Optimize Signal Quality";;
282.48;118;92;80;81;;;;;
283.19;118;92;80;80;;;;;
283.89;118;92;80;80;;;;;
284.56;118;92;80;80;;;;;
285.24;118;92;80;80;;;;;
285.85;118;90;79;80;;;;;
286.53;118;90;79;80;;;;;
287.23;116;91;80;82;;;;;
288.01;116;91;80;82;;;;;
288.90;116;91;80;82;;;;;
289.81;116;91;80;82;;;;;
290.67;116;91;80;82;;;;;
291.47;108;84;73;72;;;;;
292.22;108;84;73;72;;;;;
292.94;108;84;73;72;;;;;
293.66;108;84;73;72;;;;;
294.34;108;84;73;72;;;;;
295.02;101;80;68;85;;;;;
295.69;101;80;68;85;;;;;
296.38;101;80;68;85;;;;;
297.08;101;80;68;85;;;;;
297.83;101;80;68;85;;;;;
298.63;109;85;72;80;;;;;
299.51;109;85;72;80;;;;;
300.40;109;85;72;80;;;;;
301.26;109;85;72;80;;;;;
302.09;109;85;72;80;;;;;
302.89;103;78;65;73;;;;;
303.66;103;78;65;73;;;;;
304.39;103;78;65;73;;;;;
305.10;103;78;65;73;;;;;
305.80;103;78;65;73;;;;;
306.51;106;81;69;83;;;;;
307.26;106;81;69;83;;;;;
308.09;106;81;69;83;;;;;
308.97;106;81;69;83;;;;;
309.84;106;81;69;83;;;;;
310.05;;;;;;;"Custom1";;
310.70;107;82;69;71;;;;;
311.53;107;82;69;71;;;;;
