"Time [s]";"Beat Sys [mmHg]";"Beat Mean [mmHg]";"Beat Dia [mmHg]";"Beat HR [bpm]";"NBP Sys [mmHg]";"NBP Dia [mmHg]";"Event";"Height Offset [cm]";
19.94;;;;;;;"Optimize Signal Quality";;
29.94;;;;;;;"Optimize Signal Quality";;
39.94;;;;;;;"Optimize Signal Quality";;
44.53;94;79;77;82;;;;;
45.33;94;79;77;82;;;;;
45.93;94;79;77;82;;;;;
46.55;94;79;77;82;;;;;
47.15;94;79;77;82;;;;;
47.79;96;83;76;90;;;;;
48.44;96;83;76;90;;;;;
49.12;96;83;76;90;;;;;
49.79;96;83;76;90;;;;;
50.42;96;83;76;90;;;;;
51.04;90;78;71;94;;;;;
51.63;90;78;71;94;;;;;
52.25;90;78;71;94;;;;;
52.89;90;78;71;94;;;;;
53.56;90;78;71;94;;;;;
54.22;88;78;71;92;;;;;
54.86;88;78;71;92;;;;;
55.52;88;78;71;92;;;;;
56.16;88;78;71;92;;;;;
56.84;88;78;71;92;;;;;
57.53;86;75;69;89;;;;;
58.20;86;75;69;89;;;;;
58.84;86;75;69;89;;;;;
59.46;86;75;69;89;;;;;
60.09;86;75;69;89;;;;;
60.73;84;73;67;94;;;;;
61.36;84;73;67;94;;;;;
62.01;84;73;67;94;;;;;
62.66;84;73;67;94;;;;;
63.28;84;73;67;94;;;;;
63.94;84;75;68;94;;;;;
64.57;84;75;68;94;;;;;
65.25;84;75;68;94;;;;;
65.93;84;75;68;94;;;;;
66.58;84;75;68;94;;;;;
67.21;84;73;67;92;;;;;
67.85;84;73;67;92;;;;;
68.51;84;73;67;92;;;;;
69.18;84;73;67;92;;;;;
69.87;84;73;67;92;;;;;
70.54;84;74;67;89;;;;;
71.17;84;74;67;89;;;;;
71.81;84;74;67;89;;;;;
72.44;84;74;67;89;;;;;
73.09;84;74;67;89;;;;;
73.77;86;76;69;91;;;;;
74.47;86;76;69;91;;;;;
75.13;86;76;69;91;;;;;
75.81;86;76;69;91;;;;;
76.48;86;76;69;91;;;;;
77.18;85;74;67;88;;;;;
77.90;85;74;67;88;;;;;
78.58;85;74;67;88;;;;;
79.22;85;74;67;88;;;;;
79.83;85;74;67;88;;;;;
80.45;83;71;63;94;;;;;
80.82;;;;;118;76;"internal";;
81.06;83;71;63;94;;;;;
81.70;83;71;63;94;;;;;
82.38;83;71;63;94;;;;;
83.08;83;71;63;94;;;;;
83.78;86;75;68;89;;;;;
84.45;86;75;68;89;;;;;
85.07;86;75;68;89;;;;;
85.71;86;75;68;89;;;;;
86.34;86;75;68;89;;;;;
86.99;89;79;71;93;;;;;
87.65;89;79;71;93;;;;;
88.32;89;79;71;93;;;;;
88.96;89;79;71;93;;;;;
89.64;89;79;71;93;;;;;
90.31;93;82;74;90;;;;;
90.94;;;;;;;"Optimize Signal Quality";;
91.04;93;82;74;90;;;;;
91.77;93;82;74;90;;;;;
92.42;93;82;74;90;;;;;
93.07;93;82;74;90;;;;;
93.70;93;82;74;92;;;;;
94.32;93;82;74;92;;;;;
94.93;93;82;74;92;;;;;
95.48;93;82;74;92;;;;;
96.08;93;82;74;92;;;;;
96.65;100;87;79;91;;;;;
97.24;100;87;79;91;;;;;
97.84;100;87;79;91;;;;;
98.47;100;87;79;91;;;;;
99.11;100;87;79;91;;;;;
99.73;102;88;80;96;;;;;
100.38;102;88;80;96;;;;;
101.02;102;88;80;96;;;;;
101.70;102;88;80;96;;;;;
102.41;102;88;80;96;;;;;
102.76;;;;;;;"NBPcal";;
103.07;112;85;71;90;;;;;
103.68;112;85;71;90;;;;;
104.28;112;85;71;90;;;;;
104.89;112;85;71;90;;;;;
105.50;112;85;71;90;;;;;
106.10;106;80;67;98;;;;;
106.69;106;80;67;98;;;;;
107.27;106;80;67;98;;;;;
107.88;106;80;67;98;;;;;
108.49;106;80;67;98;;;;;
109.14;93;73;61;98;;;;;
109.74;93;73;61;98;;;;;
110.31;93;73;61;98;;;;;
110.91;93;73;61;98;;;;;
111.53;93;73;61;98;;;;;
112.14;101;81;70;99;;;;;
112.73;101;81;70;99;;;;;
113.31;101;81;70;99;;;;;
113.90;101;81;70;99;;;;;
