"Time [s]";"Beat Sys [mmHg]";"Beat Mean [mmHg]";"Beat Dia [mmHg]";"Beat HR [bpm]";"NBP Sys [mmHg]";"NBP Dia [mmHg]";"Event";"Height Offset [cm]";
19.65;;;;;;;"Optimize Signal Quality";;
29.65;;;;;;;"Optimize Signal Quality";;
39.65;;;;;;;"Optimize Signal Quality";;
44.86;104;82;72;85;;;;;
45.57;104;82;72;85;;;;;
46.28;104;82;72;85;;;;;
46.96;104;82;72;85;;;;;
47.61;104;82;72;85;;;;;
48.27;103;82;72;90;;;;;
48.93;103;82;72;90;;;;;
49.63;103;82;72;90;;;;;
50.34;103;82;72;90;;;;;
51.03;103;82;72;90;;;;;
51.72;106;84;74;87;;;;;
52.42;106;84;74;87;;;;;
53.13;106;84;74;87;;;;;
53.84;106;84;74;87;;;;;
54.56;106;84;74;87;;;;;
55.24;102;80;71;86;;;;;
55.89;102;80;71;86;;;;;
56.53;102;80;71;86;;;;;
57.20;102;80;71;86;;;;;
57.87;102;80;71;86;;;;;
58.54;107;84;74;89;;;;;
59.23;107;84;74;89;;;;;
59.91;107;84;74;89;;;;;
60.66;107;84;74;89;;;;;
61.42;107;84;74;89;;;;;
62.19;106;82;72;81;;;;;
62.89;106;82;72;81;;;;;
63.59;106;82;72;81;;;;;
64.28;106;82;72;81;;;;;
64.98;106;82;72;81;;;;;
65.66;101;78;68;86;;;;;
66.30;101;78;68;86;;;;;
66.97;101;78;68;86;;;;;
67.65;101;78;68;86;;;;;
68.37;101;78;68;86;;;;;
69.13;104;82;72;83;;;;;
69.89;104;82;72;83;;;;;
70.57;104;82;72;83;;;;;
71.27;104;82;72;83;;;;;
71.99;104;82;72;83;;;;;
72.73;100;79;69;83;;;;;
73.48;100;79;69;83;;;;;
74.21;100;79;69;83;;;;;
74.89;100;79;69;83;;;;;
75.58;100;79;69;83;;;;;
76.29;100;80;70;85;;;;;
77.03;100;80;70;85;;;;;
77.79;100;80;70;85;;;;;
78.49;100;80;70;85;;;;;
78.78;;;;;117;68;"internal";;
79.20;100;80;70;85;;;;;
79.93;102;81;71;83;;;;;
80.69;102;81;71;83;;;;;
81.41;102;81;71;83;;;;;
82.10;102;81;71;83;;;;;
82.79;102;81;71;83;;;;;
83.50;98;76;66;85;;;;;
84.21;98;76;66;85;;;;;
84.89;98;76;66;85;;;;;
85.53;98;76;66;85;;;;;
86.18;98;76;66;85;;;;;
86.84;98;78;68;91;;;;;
87.52;98;78;68;91;;;;;
88.21;98;78;68;91;;;;;
88.89;98;78;68;91;;;;;
89.61;98;78;68;91;;;;;
89.65;;;;;;;"Optimize Signal Quality";;
90.45;98;78;68;88;;;;;
91.24;98;78;68;88;;;;;
91.96;98;78;68;88;;;;;
92.69;98;78;68;88;;;;;
93.41;98;78;68;88;;;;;
94.07;102;81;70;91;;;;;
94.79;102;81;70;91;;;;;
95.47;102;81;70;91;;;;;
96.14;102;81;70;91;;;;;
96.81;102;81;70;91;;;;;
97.50;103;81;71;89;;;;;
98.22;103;81;71;89;;;;;
98.91;103;81;71;89;;;;;
99.60;103;81;71;89;;;;;
100.30;103;81;71;89;;;;;
101.04;105;82;72;84;;;;;
101.36;;;;;;;"NBPcal";;
101.80;118;84;69;83;;;;;
102.54;118;84;69;83;;;;;
103.24;118;84;69;83;;;;;
103.94;118;84;69;83;;;;;
104.65;118;84;69;83;;;;;
105.38;119;83;68;83;;;;;
106.07;119;83;68;83;;;;;
106.77;119;83;68;83;;;;;
107.46;119;83;68;83;;;;;
108.17;119;83;68;83;;;;;
108.89;123;88;72;85;;;;;
109.61;123;88;72;85;;;;;
110.28;123;88;72;85;;;;;
110.95;123;88;72;85;;;;;
111.63;123;88;72;85;;;;;
112.37;129;93;76;85;;;;;
113.06;129;93;76;85;;;;;
113.72;129;93;76;85;;;;;
114.36;129;93;76;85;;;;;
115.01;129;93;76;85;;;;;
115.66;129;90;73;91;;;;;
116.28;129;90;73;91;;;;;
116.90;129;90;73;91;;;;;
117.53;129;90;73;91;;;;;
118.16;129;90;73;91;;;;;
118.80;124;85;69;95;;;;;
119.42;124;85;69;95;;;;;
120.02;124;85;69;95;;;;;
120.64;124;85;69;95;;;;;
121.26;124;85;69;95;;;;;
121.89;124;86;70;96;;;;;
122.52;124;86;70;96;;;;;
123.13;124;86;70;96;;;;;
123.74;124;86;70;96;;;;;
124.37;124;86;70;96;;;;;
125.03;129;90;73;95;;;;;
125.71;129;90;73;95;;;;;
126.40;129;90;73;95;;;"Custom1";;
127.09;129;90;73;95;;;;;
127.73;129;90;73;95;;;;;
128.35;124;86;70;93;;;;;
128.97;124;86;70;93;;;;;
129.59;124;86;70;93;;;;;
129.65;;;;;;;"Optimize Signal Quality";;
130.28;124;86;70;93;;;;;
130.93;124;86;70;93;;;;;
131.60;124;86;70;92;;;;;
132.27;124;86;70;92;;;;;
132.92;124;86;70;92;;;;;
133.54;124;86;70;92;;;;;
133.96;128;88;70;92;;;;;
134.73;134;90;70;93;;;;;
135.36;134;90;70;93;;;;;
136.06;134;90;70;93;;;;;
136.78;134;90;70;93;;;;;
137.51;134;90;70;93;;;;;
138.22;131;86;70;85;;;;;
138.89;131;86;70;85;;;;;
139.52;131;86;70;85;;;;;
140.12;131;86;70;85;;;;;
140.73;131;86;70;85;;;;;
141.36;133;92;74;96;;;;;
142.03;133;92;74;96;;;;;
142.80;133;92;74;96;;;;;
143.59;133;92;74;96;;;;;
144.37;133;92;74;96;;;;;
145.14;138;95;79;80;;;;;
145.84;138;95;79;80;;;;;
146.50;138;95;79;80;;;;;
147.13;138;95;79;80;;;;;
147.73;138;95;79;80;;;;;
148.31;133;88;71;96;;;;;
148.90;133;88;71;96;;;;;
149.53;133;88;71;96;;;;;
150.50;133;88;71;96;;;;;
151.42;133;88;71;96;;;;;
152.26;135;84;67;73;;;;;
153.00;135;84;67;73;;;;;
153.69;135;84;67;73;;;;;
154.35;135;84;67;73;;;;;
154.99;135;84;67;73;;;;;
155.58;118;77;63;92;;;;;
156.15;118;77;63;92;;;;;
156.70;118;77;63;92;;;;;
157.26;118;77;63;92;;;;;
157.84;118;77;63;92;;;;;
158.86;140;92;71;81;;;;;
159.78;140;92;71;81;;;;;
160.68;140;92;71;81;;;;;
161.58;140;92;71;81;;;;;
162.47;140;92;71;81;;;;;
163.31;133;84;66;69;;;;;
163.97;133;84;66;69;;;;;
164.59;133;84;66;69;;;;;
165.18;133;84;66;69;;;;;
165.78;133;84;66;69;;;;;
166.39;133;87;68;95;;;;;
167.05;133;87;68;95;;;;;
167.76;133;87;68;95;;;;;
168.47;133;87;68;95;;;;;
169.17;133;87;68;95;;;;;
169.86;132;82;67;87;;;;;
170.51;132;82;67;87;;;;;
171.13;132;82;67;87;;;;;
171.75;132;82;67;87;;;;;
172.34;132;82;67;87;;;;;
172.91;124;79;64;99;;;;;
173.46;124;79;64;99;;;;;
174.01;124;79;64;99;;;;;
174.57;124;79;64;99;;;;;
175.16;124;79;64;99;;;;;
175.83;134;88;70;99;;;;;
176.60;134;88;70;99;;;;;
177.34;134;88;70;99;;;;;
178.05;134;88;70;99;;;;;
178.74;134;88;70;99;;;;;
179.39;121;78;64;88;;;;;
180.04;121;78;64;88;;;;;
180.67;121;78;64;88;;;;;
181.27;121;78;64;88;;;;;
181.84;121;78;64;88;;;;;
182.40;118;77;63;101;;;;;
182.96;118;77;63;101;;;;;
183.53;118;77;63;101;;;;;
184.12;118;77;63;101;;;;;
184.81;118;77;63;101;;;;;
185.61;131;84;67;88;;;;;
186.41;131;84;67;88;;;;;
187.18;131;84;67;88;;;;;
187.91;131;84;67;88;;;;;
188.61;131;84;67;88;;;;;
189.27;114;74;62;86;;;;;
189.93;114;74;62;86;;;;;
190.54;114;74;62;86;;;;;
191.12;114;74;62;86;;;;;
191.68;114;74;62;86;;;;;
192.23;115;77;63;102;;;;;
