"Time [s]";"Pressure [mmHg]";
0.00;49.62;
0.01;40.97;
0.02;29.92;
0.03;22.56;
0.04;17.38;
0.05;13.42;
0.06;10.27;
0.07;8.41;
0.08;6.89;
0.09;5.64;
0.10;4.84;
0.11;4.05;
0.12;3.41;
0.13;2.91;
0.14;2.70;
0.15;2.38;
0.16;2.14;
0.17;2.05;
0.18;1.78;
0.19;1.69;
0.20;1.59;
0.21;1.61;
0.22;1.38;
0.23;1.27;
0.24;1.30;
0.25;1.27;
0.26;1.17;
0.27;1.20;
0.28;1.16;
0.29;1.19;
0.30;1.16;
0.31;1.14;
0.32;1.03;
0.33;1.03;
0.34;1.05;
0.35;1.05;
0.36;1.06;
0.37;0.97;
0.38;1.08;
0.39;0.97;
0.40;0.98;
0.41;0.97;
0.42;1.02;
0.43;0.94;
0.44;0.98;
0.45;0.77;
0.46;0.89;
0.47;0.88;
0.48;0.86;
0.49;0.81;
0.50;0.73;
0.51;0.77;
0.52;0.73;
0.53;0.73;
0.54;0.73;
0.55;0.83;
0.56;0.86;
0.57;0.75;
0.58;0.77;
0.59;0.67;
0.60;0.78;
0.61;0.73;
0.62;0.70;
0.63;0.80;
0.64;0.86;
0.65;0.75;
0.66;0.80;
0.67;0.80;
0.68;0.77;
0.69;0.78;
0.70;0.59;
0.71;0.78;
0.72;0.70;
0.73;0.67;
0.74;0.69;
0.75;0.67;
0.76;0.77;
0.77;0.86;
0.78;0.69;
0.79;0.66;
0.80;0.75;
0.81;0.64;
0.82;0.59;
0.83;0.61;
0.84;0.66;
0.85;0.58;
0.86;0.62;
0.87;0.67;
0.88;0.69;
0.89;0.52;
0.90;0.53;
0.91;0.61;
0.92;0.55;
0.93;0.56;
0.94;0.55;
0.95;0.56;
0.96;0.52;
0.97;0.58;
0.98;0.59;
0.99;0.61;
1.00;0.61;
1.01;0.61;
1.02;0.58;
1.03;0.56;
1.04;0.62;
1.05;0.55;
1.06;0.50;
1.07;0.52;
1.08;0.62;
1.09;0.56;
1.10;0.61;
1.11;0.55;
1.12;0.47;
1.13;0.47;
1.14;0.50;
1.15;0.47;
1.16;0.52;
1.17;0.55;
1.18;0.50;
1.19;0.58;
1.20;0.52;
1.21;0.48;
1.22;0.45;
1.23;0.50;
1.24;0.58;
1.25;0.48;
1.26;0.50;
1.27;0.58;
1.28;0.50;
1.29;0.38;
1.30;0.44;
1.31;0.34;
1.32;0.53;
1.33;0.50;
1.34;0.36;
1.35;0.48;
1.36;0.47;
1.37;0.47;
1.38;0.47;
1.39;0.47;
1.40;0.34;
1.41;0.64;
1.42;0.41;
1.43;0.44;
1.44;0.28;
1.45;0.34;
1.46;0.36;
1.47;0.45;
1.48;0.44;
1.49;0.42;
1.50;0.50;
1.51;0.48;
1.52;9.42;
1.53;21.48;
1.54;32.67;
1.55;43.30;
1.56;53.62;
1.57;64.50;
1.58;76.08;
1.59;88.44;
1.60;100.89;
1.61;113.42;
1.62;125.69;
1.63;137.14;
1.64;147.16;
1.65;155.56;
1.66;162.48;
1.67;167.59;
1.68;171.58;
1.69;174.31;
1.70;176.17;
1.71;177.36;
1.72;178.06;
1.73;178.52;
1.74;178.62;
1.75;178.77;
1.76;179.02;
1.77;179.00;
1.78;179.12;
1.79;179.11;
1.80;179.19;
1.81;179.38;
1.82;179.45;
1.83;179.36;
1.84;179.47;
1.85;179.42;
1.86;179.48;
1.87;179.50;
1.88;179.64;
1.89;179.59;
1.90;179.69;
1.91;179.70;
1.92;179.64;
1.93;179.67;
1.94;179.75;
1.95;179.73;
1.96;179.89;
1.97;179.80;
1.98;179.81;
1.99;179.88;
2.00;179.92;
2.01;179.84;
2.02;179.88;
2.03;179.80;
2.04;179.84;
2.05;180.00;
2.06;179.80;
2.07;180.05;
2.08;179.92;
2.09;180.00;
2.10;179.94;
2.11;179.98;
2.12;179.95;
2.13;179.94;
2.14;180.00;
2.15;180.08;
2.16;180.08;
2.17;180.11;
2.18;180.05;
2.19;180.03;
2.20;180.08;
2.21;179.88;
2.22;179.91;
2.23;180.16;
2.24;180.00;
2.25;180.02;
2.26;179.98;
2.27;180.02;
2.28;180.09;
2.29;179.98;
2.30;180.02;
2.31;180.12;
2.32;179.95;
2.33;180.06;
2.34;180.12;
2.35;180.16;
2.36;180.08;
2.37;180.30;
2.38;180.22;
2.39;180.20;
2.40;180.06;
2.41;180.20;
2.42;180.31;
2.43;180.30;
2.44;180.00;
2.45;180.00;
2.46;180.02;
2.47;180.12;
2.48;180.05;
2.49;180.11;
2.50;180.17;
2.51;180.05;
2.52;180.14;
2.53;180.06;
2.54;180.05;
2.55;180.06;
2.56;180.08;
2.57;180.00;
2.58;179.97;
2.59;180.02;
2.60;180.06;
2.61;180.16;
2.62;180.17;
2.63;180.00;
2.64;180.05;
2.65;180.03;
2.66;180.03;
2.67;180.05;
2.68;179.97;
2.69;180.02;
2.70;179.89;
2.71;180.00;
2.72;180.14;
2.73;179.98;
2.74;180.02;
2.75;179.95;
2.76;180.06;
2.77;180.00;
2.78;179.92;
2.79;180.06;
2.80;180.05;
2.81;179.98;
2.82;179.94;
2.83;180.02;
2.84;180.03;
2.85;180.03;
2.86;179.92;
2.87;180.16;
2.88;180.11;
2.89;180.00;
2.90;180.17;
2.91;180.03;
2.92;180.02;
2.93;179.94;
2.94;179.88;
2.95;179.98;
2.96;179.89;
2.97;179.81;
2.98;179.88;
2.99;179.86;
3.00;179.91;
3.01;179.94;
3.02;179.94;
3.03;179.84;
3.04;179.92;
3.05;179.94;
3.06;179.94;
3.07;180.05;
3.08;179.91;
3.09;180.06;
3.10;179.97;
3.11;180.00;
3.12;179.95;
3.13;180.02;
3.14;179.98;
3.15;180.05;
3.16;179.91;
3.17;180.14;
3.18;179.97;
3.19;180.16;
3.20;179.95;
3.21;179.94;
3.22;180.00;
3.23;180.06;
3.24;179.95;
3.25;179.97;
3.26;179.83;
3.27;179.98;
3.28;179.84;
3.29;179.89;
3.30;179.92;
3.31;179.86;
3.32;179.72;
3.33;179.92;
3.34;179.86;
3.35;179.83;
3.36;179.88;
3.37;179.94;
3.38;179.83;
3.39;179.81;
3.40;179.88;
3.41;179.91;
3.42;179.81;
3.43;179.86;
3.44;179.80;
3.45;179.81;
3.46;179.67;
3.47;179.80;
3.48;179.73;
3.49;179.77;
3.50;179.70;
3.51;179.75;
3.52;179.77;
3.53;179.66;
3.54;179.61;
3.55;179.66;
3.56;179.55;
3.57;179.73;
3.58;179.72;
3.59;179.72;
3.60;179.66;
3.61;179.77;
3.62;179.66;
3.63;179.64;
3.64;179.64;
3.65;179.62;
3.66;179.55;
3.67;179.52;
3.68;179.80;
3.69;179.61;
3.70;179.81;
3.71;179.59;
3.72;179.70;
3.73;179.73;
3.74;179.75;
3.75;179.73;
3.76;179.73;
3.77;179.70;
3.78;179.66;
3.79;179.59;
3.80;179.72;
3.81;179.66;
3.82;179.73;
3.83;179.67;
3.84;179.66;
3.85;179.56;
3.86;179.66;
3.87;179.61;
3.88;179.66;
3.89;179.62;
3.90;179.62;
3.91;179.55;
3.92;179.70;
3.93;179.62;
3.94;179.72;
3.95;179.59;
3.96;179.62;
3.97;179.47;
3.98;179.48;
3.99;179.50;
4.00;179.48;
4.01;179.12;
4.02;179.31;
4.03;179.22;
4.04;179.58;
4.05;179.14;
