hr,pat,sbp,dbp
72.81553398058252,0.322,114.50166666666667,83.78833333333334
69.60556844547563,0.323,112.99666666666667,83.84500000000001
77.82101167315174,0.32583333333333336,109.89999999999999,82.60333333333332
76.04562737642586,0.3016666666666667,106.49923076923075,80.58307692307692
73.50689127105666,0.297,101.49933333333334,76.12642857142858
79.4701986754967,0.314,99.84,76.454
87.84773060029282,0.31916666666666665,99.80071428571429,76.68500000000002
94.61235216819973,0.31714285714285717,100.6475,76.69615384615385
98.22646657571623,0.3078571428571429,103.57444444444445,78.02000000000001
74.81296758104739,0.3333333333333333,104.40333333333335,76.018
