"Time [s]";"Beat Sys [mmHg]";"Beat Mean [mmHg]";"Beat Dia [mmHg]";"Beat HR [bpm]";"NBP Sys [mmHg]";"NBP Dia [mmHg]";"Event";"Height Offset [cm]";
21.82;;;;;;;"Optimize Signal Quality";;
31.82;;;;;;;"Optimize Signal Quality";;
40.82;;;;;;;"Optimize Signal Quality";;
46.29;118;92;80;69;;;;;
46.94;118;92;80;69;;;;;
47.61;118;92;80;69;;;;;
48.32;118;92;80;69;;;;;
49.04;118;92;80;69;;;;;
49.68;112;85;74;83;;;;;
50.32;112;85;74;83;;;;;
50.93;112;85;74;83;;;;;
51.56;112;85;74;83;;;;;
52.18;112;85;74;83;;;;;
52.78;108;81;70;96;;;;;
53.37;108;81;70;96;;;;;
53.93;108;81;70;96;;;;;
54.51;108;81;70;96;;;;;
55.11;108;81;70;96;;;;;
55.72;113;87;75;100;;;;;
56.39;113;87;75;100;;;;;
57.08;113;87;75;100;;;;;
57.75;113;87;75;100;;;;;
58.39;113;87;75;100;;;;;
59.02;111;85;73;93;;;;;
59.67;111;85;73;93;;;;;
60.34;111;85;73;93;;;;;
61.02;111;85;73;93;;;;;
61.66;111;85;73;93;;;;;
62.26;104;77;66;94;;;;;
62.88;104;77;66;94;;;;;
63.45;104;77;66;94;;;;;
64.04;104;77;66;94;;;;;
64.65;104;77;66;94;;;;;
65.22;104;77;66;101;;;;;
65.80;104;77;66;101;;;;;
66.37;104;77;66;101;;;;;
66.94;104;77;66;101;;;;;
67.52;104;77;66;101;;;;;
68.11;109;83;70;103;;;;;
68.75;109;83;70;103;;;;;
69.41;109;83;70;103;;;;;
70.07;109;83;70;103;;;;;
70.73;109;83;70;103;;;;;
71.41;111;86;73;92;;;;;
72.12;111;86;73;92;;;;;
72.86;111;86;73;92;;;;;
73.51;111;86;73;92;;;;;
74.17;111;86;73;92;;;;;
74.82;105;78;67;90;;;;;
74.85;;;;;133;80;"internal";;
75.46;105;78;67;90;;;;;
76.09;105;78;67;90;;;;;
76.72;105;78;67;90;;;;;
77.31;105;78;67;90;;;;;
77.91;102;76;65;98;;;;;
78.51;102;76;65;98;;;;;
79.11;102;76;65;98;;;;;
79.74;102;76;65;98;;;;;
80.39;102;76;65;98;;;;;
81.06;106;83;71;94;;;;;
81.70;106;83;71;94;;;;;
82.38;106;83;71;94;;;;;
83.05;106;83;71;94;;;;;
83.75;106;83;71;94;;;;;
84.43;104;79;68;88;;;;;
84.82;;;;;;;"Optimize Signal Quality";;
85.08;104;79;68;88;;;;;
85.77;104;79;68;88;;;;;
86.38;104;79;68;88;;;;;
87.01;104;79;68;88;;;;;
87.64;104;79;68;94;;;;;
88.84;104;79;68;94;;;;;
89.45;104;79;68;94;;;;;
89.83;104;79;68;94;;;;;
90.72;104;79;68;94;;;;;
91.39;105;79;69;92;;;;;
92.02;105;79;69;92;;;;;
92.65;105;79;69;92;;;;;
93.29;105;79;69;92;;;;;
93.92;105;79;69;92;;;;;
94.58;104;79;68;93;;;;;
95.22;104;79;68;93;;;;;
95.83;104;79;68;93;;;;;
96.45;104;79;68;93;;;;;
97.08;134;96;81;95;;;;;
97.13;;;;;;;"NBPcal";;
97.72;134;96;81;95;;;;;
98.37;134;96;81;95;;;;;
99.02;134;96;81;95;;;;;
