"Time [s]";"Beat Sys [mmHg]";"Beat Mean [mmHg]";"Beat Dia [mmHg]";"Beat HR [bpm]";"NBP Sys [mmHg]";"NBP Dia [mmHg]";"Event";"Height Offset [cm]";
18.13;;;;;;;"Optimize Signal Quality";;
28.13;;;;;;;"Optimize Signal Quality";;
39.13;;;;;;;"Optimize Signal Quality";;
45.18;106;90;79;70;;;;;
46.13;106;90;79;70;;;;;
47.07;106;90;79;70;;;;;
47.99;106;90;79;70;;;;;
48.89;106;90;79;70;;;;;
49.77;103;86;77;68;;;;;
50.65;103;86;77;68;;;;;
51.52;103;86;77;68;;;;;
52.39;103;86;77;68;;;;;
53.25;103;86;77;68;;;;;
54.08;101;86;77;70;;;;;
54.87;101;86;77;70;;;;;
55.68;101;86;77;70;;;;;
56.52;101;86;77;70;;;;;
57.38;101;86;77;70;;;;;
58.29;105;89;79;69;;;;;
59.19;105;89;79;69;;;;;
60.10;105;89;79;69;;;;;
60.99;105;89;79;69;;;;;
61.87;105;89;79;69;;;;;
62.73;101;85;75;68;;;;;
63.56;101;85;75;68;;;;;
64.33;101;85;75;68;;;;;
65.11;101;85;75;68;;;;;
65.91;101;85;75;68;;;;;
66.76;104;87;77;73;;;;;
67.67;104;87;77;73;;;;;
68.61;104;87;77;73;;;;;
69.54;104;87;77;73;;;;;
70.43;104;87;77;73;;;;;
71.25;100;84;75;69;;;;;
72.05;100;84;75;69;;;;;
72.87;100;84;75;69;;;;;
73.72;100;84;75;69;;;;;
74.60;100;84;75;69;;;;;
75.53;103;86;76;68;;;;;
76.46;103;86;76;68;;;;;
77.38;103;86;76;68;;;;;
78.23;103;86;76;68;;;;;
79.04;103;86;76;68;;;;;
79.85;99;83;73;71;;;;;
80.69;99;83;73;71;;;;;
81.56;99;83;73;71;;;;;
82.47;99;83;73;71;;;;;
83.39;99;83;73;71;;;;;
84.27;100;84;75;68;;;;;
85.10;100;84;75;68;;;;;
85.96;100;84;75;68;;;;;
86.81;100;84;75;68;;;;;
87.68;100;84;75;68;;;;;
88.55;99;83;73;69;;;;;
89.35;99;83;73;69;;;;;
90.14;99;83;73;69;;;;;
90.24;;;;;109;79;"internal";;
90.97;99;83;73;69;;;;;
91.87;99;83;73;69;;;;;
92.84;102;86;76;67;;;;;
93.81;102;86;76;67;;;;;
94.70;102;86;76;67;;;;;
95.56;102;86;76;67;;;;;
96.43;102;86;76;67;;;;;
97.30;98;83;73;68;;;;;
98.19;98;83;73;68;;;;;
99.05;98;83;73;68;;;;;
99.88;98;83;73;68;;;;;
100.75;98;83;73;68;;;;;
101.13;;;;;;;"Optimize Signal Quality";;
101.67;98;83;73;69;;;;;
102.57;98;83;73;69;;;;;
103.49;98;83;73;69;;;;;
104.33;98;83;73;69;;;;;
105.20;98;83;73;69;;;;;
106.10;98;83;73;68;;;;;
106.96;98;83;73;68;;;;;
107.86;98;83;73;68;;;;;
108.69;98;83;73;68;;;;;
109.47;98;83;73;68;;;;;
110.27;98;82;73;72;;;;;
111.09;98;82;73;72;;;;;
111.96;98;82;73;72;;;;;
112.89;98;82;73;72;;;;;
113.79;98;82;73;72;;;;;
114.03;;;;;;;"NBPcal";;
114.61;108;90;79;70;;;;;
115.44;108;90;79;70;;;;;
116.29;108;90;79;70;;;;;
117.19;108;90;79;70;;;;;
118.10;108;90;79;70;;;;;
118.97;110;91;80;68;;;;;
119.81;110;91;80;68;;;;;
120.67;110;91;80;68;;;;;
121.55;110;91;80;68;;;;;
122.43;110;91;80;68;;;;;
123.09;;;;;;;"Custom1";;
123.26;110;91;80;70;;;;;
124.06;110;91;80;70;;;;;
124.81;110;91;80;70;;;;;
125.53;110;91;80;70;;;;;
126.25;110;91;80;70;;;;;
126.99;109;91;80;80;;;;;
127.79;109;91;80;80;;;;;
128.64;109;91;80;80;;;;;
129.54;109;91;80;80;;;;;
130.42;109;91;80;80;;;;;
131.21;106;88;78;72;;;;;
131.98;106;88;78;72;;;;;
132.78;106;88;78;72;;;;;
133.61;106;88;78;72;;;;;
134.49;106;88;78;72;;;;;
135.42;111;93;81;68;;;;;
136.37;111;93;81;68;;;;;
137.27;111;93;81;68;;;;;
138.06;111;93;81;68;;;;;
138.85;111;93;81;68;;;;;
139.68;110;93;81;72;;;;;
140.54;110;93;81;72;;;;;
141.47;110;93;81;72;;;;;
142.40;110;93;81;72;;;;;
143.28;110;93;81;72;;;;;
144.12;111;93;81;69;;;;;
144.98;111;93;81;69;;;;;
145.82;111;93;81;69;;;;;
146.58;111;93;81;69;;;;;
147.29;111;93;81;69;;;;;
147.98;108;92;81;80;;;;;
148.66;108;92;81;80;;;;;
149.51;108;92;81;80;;;;;
150.47;108;92;81;80;;;;;
151.44;108;92;81;80;;;;;
152.35;111;91;79;67;;;;;
153.20;111;91;79;67;;;;;
154.02;111;91;79;67;;;;;
154.78;111;91;79;67;;;;;
155.50;111;91;79;67;;;;;
156.19;105;87;76;80;;;;;
156.87;105;87;76;80;;;;;
157.57;105;87;76;80;;;;;
