"Time [s]";"Beat Sys [mmHg]";"Beat Mean [mmHg]";"Beat Dia [mmHg]";"Beat HR [bpm]";"NBP Sys [mmHg]";"NBP Dia [mmHg]";"Event";"Height Offset [cm]";
19.38;;;;;;;"Optimize Signal Quality";;
29.38;;;;;;;"Optimize Signal Quality";;
39.38;;;;;;;"Optimize Signal Quality";;
44.50;105;90;78;76;;;;;
45.12;105;90;78;76;;;;;
45.75;105;90;78;76;;;;;
46.39;105;90;78;76;;;;;
47.03;105;90;78;76;;;;;
47.68;102;84;75;85;;;;;
48.33;102;84;75;85;;;;;
48.95;102;84;75;85;;;;;
49.59;102;84;75;85;;;;;
50.20;102;84;75;85;;;;;
50.84;100;82;73;94;;;;;
51.48;100;82;73;94;;;;;
52.12;100;82;73;94;;;;;
52.76;100;82;73;94;;;;;
53.41;100;82;73;94;;;;;
54.04;97;80;72;94;;;;;
54.65;97;80;72;94;;;;;
55.23;97;80;72;94;;;;;
55.81;97;80;72;94;;;;;
56.42;97;80;72;94;;;;;
57.05;101;86;76;98;;;;;
57.80;101;86;76;98;;;;;
58.64;101;86;76;98;;;;;
59.44;101;86;76;98;;;;;
60.23;101;86;76;98;;;;;
60.93;99;82;73;80;;;;;
61.57;99;82;73;80;;;;;
62.21;99;82;73;80;;;;;
62.83;99;82;73;80;;;;;
63.46;99;82;73;80;;;;;
64.09;96;77;68;93;;;;;
64.72;96;77;68;93;;;;;
65.33;96;77;68;93;;;;;
65.92;96;77;68;93;;;;;
66.50;96;77;68;93;;;;;
67.07;95;77;68;102;;;;;
67.65;95;77;68;102;;;;;
68.25;95;77;68;102;;;;;
68.88;95;77;68;102;;;;;
69.51;95;77;68;102;;;;;
70.18;101;84;75;95;;;;;
70.88;101;84;75;95;;;;;
71.65;101;84;75;95;;;;;
72.43;101;84;75;95;;;;;
73.13;101;84;75;95;;;;;
73.82;99;81;71;85;;;;;
74.51;99;81;71;85;;;;;
74.82;;;;;139;79;"internal";;
75.21;99;81;71;85;;;;;
75.88;99;81;71;85;;;;;
76.51;99;81;71;85;;;;;
77.13;95;76;67;92;;;;;
77.76;95;76;67;92;;;;;
78.39;95;76;67;92;;;;;
79.04;95;76;67;92;;;;;
79.72;95;76;67;92;;;;;
80.41;98;80;71;90;;;;;
81.06;98;80;71;90;;;;;
81.70;98;80;71;90;;;;;
82.34;98;80;71;90;;;;;
83.00;98;80;71;90;;;;;
83.70;102;84;74;90;;;;;
84.43;102;84;74;90;;;;;
85.15;102;84;74;90;;;;;
85.38;;;;;;;"Optimize Signal Quality";;
85.93;102;84;74;90;;;;;
86.60;102;84;74;90;;;;;
87.23;102;84;74;90;;;;;
87.87;102;84;74;90;;;;;
88.51;102;84;74;90;;;;;
89.15;102;84;74;90;;;;;
89.80;102;84;74;90;;;;;
90.36;101;83;74;90;;;;;
90.98;101;83;74;90;;;;;
91.60;101;83;74;90;;;;;
92.24;101;83;74;90;;;;;
92.91;101;83;74;90;;;;;
93.60;100;82;73;89;;;;;
94.31;100;82;73;89;;;;;
94.96;100;82;73;89;;;;;
95.58;100;82;73;89;;;;;
96.20;100;82;73;89;;;;;
96.81;98;80;70;95;;;;;
97.43;139;101;81;96;;;;;
97.71;;;;;;;"NBPcal";;
98.07;139;101;81;96;;;;;
98.73;139;101;81;96;;;;;
99.38;139;101;81;96;;;;;
100.00;139;101;81;96;;;;;
100.66;135;99;77;94;;;;;
101.28;135;99;77;94;;;;;
101.93;135;99;77;94;;;;;
102.58;135;99;77;94;;;;;
103.22;135;99;77;94;;;;;
103.83;123;88;68;94;;;;;
104.44;123;88;68;94;;;;;
105.03;123;88;68;94;;;;;
