105,0,119,7017,12,819,135,144441,4,7399
135,4095,150,7012,5,797,165,144442,0,7438
165,0,180,7017,8,788,195,144434,0,7442
195,4095,210,7009,0,797,225,144468,0,7463
225,0,240,7025,0,835,255,144493,0,7462
255,4095,270,7032,22,824,285,144512,20,7459
285,0,300,7053,12,824,315,144532,24,7454
315,4095,330,7065,0,802,345,144563,9,7452
345,0,361,7050,0,797,376,144533,5,7453
376,4095,391,7043,0,796,406,144532,0,7446
406,0,421,7043,0,806,436,144489,0,7461
436,4095,451,7047,7,821,466,144495,0,7460
466,0,481,7057,0,810,496,144496,0,7479
496,4095,511,7063,34,812,526,144504,0,7480
526,0,541,7071,11,801,556,144480,14,7479
556,4095,572,7049,0,807,586,144468,15,7491
586,0,602,7036,6,786,616,144503,20,7478
616,4095,632,7020,1,787,646,144483,16,7477
646,0,662,7045,0,811,677,144497,4,7462
677,4095,692,7065,0,833,707,144502,0,7448
707,0,722,7078,24,827,737,144493,0,7458
737,4095,752,7068,23,815,767,144497,0,7496
767,0,783,7057,14,802,797,144566,0,7504
797,4095,813,7061,5,795,827,144490,0,7487
827,0,843,7049,0,791,857,144486,23,7495
857,4095,873,7060,0,832,887,144520,18,7463
887,0,903,7065,0,828,917,144523,4,7469
917,4095,933,7081,16,829,948,144482,6,7465
948,10,963,7077,23,832,978,144490,0,7464
978,4095,994,7075,5,804,1008,144590,0,7469
1008,3,1024,7052,0,794,1038,144559,0,7462
1038,4095,1054,7025,0,810,1068,144606,0,7490
1068,11,1084,7054,0,833,1098,144585,6,7491
1098,4095,1114,7107,0,839,1128,144531,24,7501
1128,16,1144,7093,8,846,1158,144576,22,7470
1158,4095,1174,7082,28,811,1188,144548,27,7465
1188,0,1204,7066,21,818,1219,144520,0,7463
1219,3516,1235,7065,0,821,1249,144600,0,7462
1249,479,1265,7059,0,806,1279,144630,0,7461
1279,3520,1295,7071,0,819,1309,144653,0,7492
1309,478,1325,7076,0,846,1339,144630,0,7492
1339,3527,1355,7076,25,820,1369,144569,0,7510
1369,486,1385,7100,20,815,1399,144522,11,7495
1399,3518,1415,7082,14,818,1429,144546,27,7493
1429,475,1441,7067,0,812,1454,144501,13,7470
1454,4095,1466,7074,35,788,1479,144532,18,7484
1479,3527,1491,7074,57,813,1505,144582,8,7478
1505,0,1521,7073,0,818,1535,144554,5,7466
1535,4095,1551,7079,0,826,1565,144542,0,7477
1565,0,1581,7079,20,833,1595,144583,0,7489
1595,4095,1611,7093,12,824,1625,144554,0,7502
1625,0,1642,7058,10,830,1655,144341,6,7505
1655,4095,1667,7076,23,804,1680,144359,5,7508
1680,2817,1692,7077,53,815,1705,144414,18,7511
1705,0,1717,7074,47,798,1730,144450,10,7501
1730,1090,1742,7079,11,828,1755,144478,24,7480
1755,4095,1767,7063,29,845,1781,144522,9,7493
1781,1983,1797,7100,14,835,1811,144523,4,7495
1811,1936,1827,7083,14,829,1841,144532,0,7493
1841,2021,1858,7060,3,803,1871,144436,0,7495
1871,1906,1883,7063,20,797,1896,144375,0,7514
1896,4095,1908,7074,53,816,1921,144337,0,7525
1921,2001,1933,7072,41,807,1946,144318,22,7514
1946,0,1958,7066,30,836,1971,144347,20,7513
1971,1911,1983,7070,17,863,1996,144395,21,7508
1996,4095,2008,7080,28,826,2021,144442,7,7510
2021,2037,2033,7081,31,821,2047,144486,15,7496
2047,0,2063,7082,18,825,2077,144450,0,7483
2077,4095,2089,7072,12,801,2102,144404,0,7503
2102,1150,2114,7063,17,803,2127,144423,0,7505
2127,0,2139,7074,68,797,2152,144412,0,7519
2152,2768,2164,7080,36,821,2177,144401,0,7518
2177,4095,2189,7084,13,842,2202,144371,0,7530
2202,1193,2214,7081,28,827,2227,144400,8,7530
2227,0,2239,7083,21,823,2252,144417,15,7517
2252,2764,2264,7071,22,811,2277,144454,17,7513
2277,4095,2289,7076,0,809,2302,144495,14,7503
2302,1209,2315,7068,3,801,2328,144439,6,7513
2328,0,2340,7070,34,802,2353,144438,1,7493
2353,3897,2365,7081,58,799,2378,144415,0,7517
2378,4095,2390,7072,31,838,2403,144415,0,7496
2403,368,2415,7065,23,828,2428,144413,0,7529
2428,0,2440,7076,11,822,2453,144384,0,7532
2453,3961,2465,7081,18,836,2478,144343,0,7539
2478,4095,2490,7085,2,829,2503,144378,13,7542
2503,368,2516,7069,0,816,2528,144433,19,7535
2528,0,2541,7079,0,797,2553,144438,2,7531
2553,3856,2566,7049,0,804,2578,144411,4,7518
2578,4095,2591,7056,0,821,2604,144413,12,7526
2604,0,2616,7066,13,818,2629,144424,2,7492
2629,399,2641,7074,21,838,2654,144409,0,7510
2654,4095,2666,7064,5,834,2679,144413,0,7525
