"Time [s]";"Beat Sys [mmHg]";"Beat Mean [mmHg]";"Beat Dia [mmHg]";"Beat HR [bpm]";"NBP Sys [mmHg]";"NBP Dia [mmHg]";"Event";"Height Offset [cm]";
18.32;;;;;;;"Optimize Signal Quality";;
28.32;;;;;;;"Optimize Signal Quality";;
38.32;;;;;;;"Optimize Signal Quality";;
44.63;116;85;68;69;;;;;
45.45;116;85;68;69;;;;;
46.27;116;85;68;69;;;;;
47.12;116;85;68;69;;;;;
47.99;116;85;68;69;;;;;
48.90;119;87;71;68;;;;;
49.82;119;87;71;68;;;;;
50.67;119;87;71;68;;;;;
51.48;119;87;71;68;;;;;
52.32;119;87;71;68;;;;;
53.17;115;84;68;71;;;;;
54.00;115;84;68;71;;;;;
54.84;115;84;68;71;;;;;
55.63;115;84;68;71;;;;;
56.40;115;84;68;71;;;;;
57.19;113;83;67;75;;;;;
58.03;113;83;67;75;;;;;
58.90;113;83;67;75;;;;;
59.78;113;83;67;75;;;;;
60.62;113;83;67;75;;;;;
61.46;114;84;68;71;;;;;
62.32;114;84;68;71;;;;;
63.18;114;84;68;71;;;;;
63.97;114;84;68;71;;;;;
64.75;114;84;68;71;;;;;
65.54;115;86;70;75;;;;;
66.37;115;86;70;75;;;;;
67.20;115;86;70;75;;;;;
68.07;115;86;70;75;;;;;
68.95;115;86;70;75;;;;;
69.80;116;88;73;70;;;;;
70.64;116;88;73;70;;;;;
71.51;116;88;73;70;;;;;
72.39;116;88;73;70;;;;;
73.20;116;88;73;70;;;;;
73.99;114;83;67;73;;;;;
74.80;114;83;67;73;;;;;
75.61;114;83;67;73;;;;;
76.41;114;83;67;73;;;;;
77.25;114;83;67;73;;;;;
78.09;115;87;71;72;;;;;
78.93;115;87;71;72;;;;;
79.74;115;87;71;72;;;;;
80.32;;;;;;;"Optimize Signal Quality";;
80.55;115;87;71;72;;;;;
81.42;115;87;71;72;;;;;
82.26;115;87;71;71;;;;;
83.06;115;87;71;71;;;;;
83.86;115;87;71;71;;;;;
84.71;115;87;71;71;;;;;
85.53;114;86;70;71;;;;;
86.30;117;87;71;72;;;;;
87.06;117;87;71;72;;;;;
87.82;117;87;71;72;;;;;
88.59;117;87;71;72;;;;;
89.39;117;87;71;72;;;;;
90.22;121;91;75;74;;;;;
91.02;121;91;75;74;;;;;
91.83;121;91;75;74;;;;;
92.67;121;91;75;74;;;;;
93.53;121;91;75;74;;;;;
94.34;120;87;71;72;;;;;
95.10;120;87;71;72;;;;;
95.82;120;87;71;72;;;;;
96.57;120;87;71;72;;;;;
97.35;120;87;71;72;;;;;
