hr,pat,sbp,dbp
72.72727272727273,0.33799999999999997,112.23666666666666,73.14083333333332
72.18045112781955,0.338,110.89749999999998,74.04545454545455
73.39449541284402,0.337,110.33749999999999,75.066
76.55502392344498,0.33599999999999997,106.77333333333335,73.03699999999999
71.32243684992571,0.33,103.71461538461539,71.87181818181818
71.85628742514969,0.33599999999999997,101.16230769230768,70.50916666666667
75.35321821036108,0.33799999999999997,97.41642857142857,69.16285714285713
83.21775312066576,0.3383333333333334,96.9342857142857,70.00928571428571
83.91608391608392,0.33,95.43384615384615,69.84538461538462
80.42895442359249,0.3433333333333333,94.47357142857143,68.08928571428572
80.21390374331551,0.3458333333333334,93.48153846153846,68.07461538461537
82.19178082191782,0.334,94.59499999999998,68.01357142857144
84.50704225352113,0.33083333333333337,95.20642857142857,69.49285714285715
85.71428571428574,0.3335714285714286,95.3507142857143,70.46357142857144
88.23529411764707,0.3333333333333333,95.96571428571428,69.85642857142857
84.86562942008487,0.33,95.72615384615384,69.4723076923077
79.89347536617844,0.32916666666666666,96.55214285714284,67.87076923076923
77.54442649434571,0.33,97.25153846153846,66.84833333333333
76.62835249042145,0.331,97.50399999999999,65.10083333333334
76.92307692307692,0.33083333333333337,100.11727272727272,65.01272727272726
76.62835249042145,0.3333333333333333,98.99000000000001,63.701428571428565
