49,1909,48,66210
53,1991,53,123055
58,2097,58,139481
63,2015,63,145199
69,1936,69,145208
74,2064,74,145229
79,2138,79,145222
84,2034,84,145223
89,1972,89,145212
94,2096,94,145204
99,2162,99,145223
104,2058,104,145205
109,1983,109,145210
114,2095,114,145196
119,2151,119,145195
124,2033,124,145164
129,1947,129,145130
134,2033,134,145105
139,2085,139,145071
144,1955,144,145053
149,1872,149,145025
154,1961,154,144995
159,2001,159,144964
164,1899,164,144970
169,1819,169,144939
174,1909,174,144918
179,1968,179,144916
184,1862,184,144894
189,1803,189,144893
194,1899,194,144875
199,1954,199,144878
204,1853,204,144888
209,1786,209,144897
214,1885,214,144909
219,1952,219,144915
224,1855,224,144915
229,1783,229,144923
234,1893,234,144934
239,1965,239,144953
244,1863,244,144950
249,1791,249,144946
254,1895,254,144969
259,1963,259,144999
264,1856,264,144984
269,1790,269,144985
274,1902,274,144983
279,1978,279,144987
284,1883,284,144988
289,1811,289,144991
294,1919,294,145005
299,1982,299,145011
304,1892,304,145020
309,1814,309,145024
314,1923,314,145045
319,1991,319,145042
324,1891,324,145051
329,1821,329,145042
334,1930,334,145039
339,1991,339,145059
344,1885,344,145044
349,1821,349,145058
355,1959,355,145042
360,1984,360,145055
365,1866,365,145054
370,1821,370,145051
375,1957,375,145036
380,1986,380,145056
385,1860,385,145044
390,1815,390,145062
395,1942,395,145072
400,1970,400,145060
405,1857,405,145068
410,1810,410,145055
415,1943,415,145058
420,1980,420,145050
425,1857,425,145086
430,1808,430,145065
435,1936,435,145049
440,1985,440,145080
445,1863,445,145095
450,1830,450,145087
455,1962,455,145083
460,1999,460,145125
465,1895,465,145099
470,1853,470,145114
475,1981,475,145087
480,2018,480,145125
485,1910,485,145117
490,1872,490,145122
495,2002,495,145122
500,2032,500,145143
505,1909,505,145131
510,1843,510,145124
515,1953,515,145139
520,1983,520,145157
525,1867,525,145139
530,1815,530,145147
535,1936,535,145159
540,1968,540,145175
545,1851,545,145179
550,1808,550,145176
555,1936,555,145171
560,1971,560,145147
565,1855,565,145168
570,1807,570,145156
575,1941,575,145169
580,1969,580,145166
585,1869,585,145169
590,1871,590,145175
595,2124,595,145168
600,2290,600,145174
605,2224,605,145189
610,2125,610,145175
615,2102,615,145173
620,1995,620,145170
625,1760,625,145177
630,1565,630,145176
636,1616,636,145190
641,1657,641,145192
646,1647,646,145191
651,1680,651,145169
656,1855,656,145186
661,1922,661,145180
666,1858,666,145179
671,1859,671,145178
676,1991,676,145192
681,1984,681,145188
686,1883,686,145193
691,1876,691,145188
696,2023,696,145199
701,2018,701,145187
706,1904,706,145202
711,1902,711,145203
716,2039,716,145215
721,2036,721,145206
726,1915,726,145234
731,1909,731,145239
736,2043,736,145234
741,2035,741,145254
746,1923,746,145240
751,1911,751,145239
756,2047,756,145253
761,2053,761,145262
766,1941,766,145232
771,1936,771,145252
776,2077,776,145244
781,2074,781,145257
786,1967,786,145258
791,1967,791,145237
796,2114,796,145249
801,2117,801,145259
806,2000,806,145266
811,1997,811,145250
816,2138,816,145239
821,2138,821,145259
826,2027,826,145255
831,2027,831,145250
836,2163,836,145250
841,2160,841,145242
846,2045,846,145206
851,2022,851,145199
856,2153,856,145156
861,2118,861,145133
866,1979,866,145092
871,1951,871,145069
876,2070,876,145038
881,2034,881,145012
886,1909,886,144985
891,1890,891,144941
896,2012,896,144921
901,1999,901,144891
906,1870,906,144888
911,1845,911,144852
917,1989,917,144857
922,1938,922,144838
927,1847,927,144835
932,1876,932,144818
937,1985,937,144834
942,1931,942,144839
947,1837,947,144842
952,1873,952,144866
957,1995,957,144900
962,1943,962,144881
967,1840,967,144908
972,1870,972,144901
977,1999,977,144907
982,1950,982,144921
987,1853,987,144909
992,1887,992,144930
997,1995,997,144940
1002,1951,1002,144948
1007,1862,1007,144973
1012,1893,1012,144972
1017,2015,1017,145000
1022,1959,1022,145009
1027,1859,1027,144989
1032,1903,1032,145012
1037,2025,1037,144996
1042,1978,1042,145033
1047,1883,1047,145025
1052,1909,1052,145038
1057,2023,1057,145054
1062,1983,1062,145055
1067,1885,1067,145051
1072,1919,1072,145049
1077,2033,1077,145068
1082,1977,1082,145055
1087,1873,1087,145051
1092,1904,1092,145073
1097,2031,1097,145081
1102,1987,1102,145068
1107,1881,1107,145074
1112,1907,1112,145055
1117,2025,1117,145075
1122,1973,1122,145072
