"Time [s]";"Beat Sys [mmHg]";"Beat Mean [mmHg]";"Beat Dia [mmHg]";"Beat HR [bpm]";"NBP Sys [mmHg]";"NBP Dia [mmHg]";"Event";"Height Offset [cm]";
18.68;;;;;;;"Optimize Signal Quality";;
29.68;;;;;;;"Optimize Signal Quality";;
38.68;;;;;;;"Optimize Signal Quality";;
44.36;119;105;84;75;;;;;
45.23;119;105;84;75;;;;;
46.19;119;105;84;75;;;;;
47.18;119;105;84;75;;;;;
48.06;119;105;84;75;;;;;
48.90;110;91;78;70;;;;;
49.76;110;91;78;70;;;;;
50.65;110;91;78;70;;;;;
51.57;110;91;78;70;;;;;
52.40;110;91;78;70;;;;;
53.21;106;86;74;71;;;;;
54.04;106;86;74;71;;;;;
54.90;106;86;74;71;;;;;
55.70;106;86;74;71;;;;;
56.45;106;86;74;71;;;;;
57.24;105;86;73;76;;;;;
58.07;105;86;73;76;;;;;
58.92;105;86;73;76;;;;;
59.73;105;86;73;76;;;;;
60.50;105;86;73;76;;;;;
61.25;102;83;72;77;;;;;
62.00;102;83;72;77;;;;;
62.78;102;83;72;77;;;;;
63.69;102;83;72;77;;;;;
64.63;102;83;72;77;;;;;
65.56;105;85;72;67;;;;;
66.51;105;85;72;67;;;;;
67.47;105;85;72;67;;;;;
68.40;105;85;72;67;;;;;
69.25;105;85;72;67;;;;;
70.01;99;79;68;71;;;;;
70.75;99;79;68;71;;;;;
71.51;99;79;68;71;;;;;
72.32;99;79;68;71;;;;;
73.24;99;79;68;71;;;;;
74.22;105;87;77;67;;;;;
81.18;63;63;63;-0;;;;;
88.68;68;68;68;-0;;;;;
96.77;109;89;78;67;;;;;
97.64;109;89;78;67;;;;;
98.56;109;89;78;67;;;;;
99.48;109;89;78;67;;;;;
100.33;109;89;78;67;;;;;
101.10;112;91;83;70;;;;;
101.78;112;91;83;70;;;;;
102.47;112;91;83;70;;;;;
103.17;112;91;83;70;;;;;
103.95;112;91;83;70;;;;;
104.76;126;102;89;78;;;;;
105.70;126;102;89;78;;;;;
106.68;126;102;89;78;;;;;
107.56;126;102;89;78;;;;;
108.37;126;102;89;78;;;;;
108.89;;;;;103;80;"internal";;
109.15;118;95;84;72;;;;;
109.98;118;95;84;72;;;;;
110.87;118;95;84;72;;;;;
111.80;118;95;84;72;;;;;
112.64;118;95;84;72;;;;;
113.42;112;90;79;72;;;;;
114.24;112;90;79;72;;;;;
115.09;112;90;79;72;;;;;
115.97;112;90;79;72;;;;;
116.81;112;90;79;72;;;;;
117.58;109;87;77;73;;;;;
118.37;109;87;77;73;;;;;
119.15;109;87;77;73;;;;;
119.68;;;;;;;"Optimize Signal Quality";;
119.88;109;87;77;73;;;;;
120.63;109;87;77;73;;;;;
121.32;109;87;77;80;;;;;
122.02;109;87;77;80;;;;;
122.90;109;87;77;80;;;;;
123.84;109;87;77;80;;;;;
124.75;109;87;77;80;;;;;
125.58;110;89;79;73;;;;;
126.45;110;89;79;73;;;;;
127.28;110;89;79;73;;;;;
128.06;110;89;79;73;;;;;
128.81;110;89;79;73;;;;;
129.53;101;84;78;79;;;;;
130.22;101;84;78;79;;;;;
130.91;101;84;78;79;;;;;
131.56;101;84;78;79;;;;;
132.16;101;84;78;79;;;;;
132.68;;;;;;;"NBPman";;
132.75;101;84;76;95;;;;;
133.36;101;84;76;95;;;;;
133.96;101;84;76;95;;;;;
134.63;101;84;76;95;;;;;
135.51;101;84;76;95;;;;;
136.38;109;91;81;77;;;;;
137.36;109;91;81;77;;;;;
138.31;109;91;81;77;;;;;
139.24;109;91;81;77;;;;;
140.28;109;91;81;77;;;;;
141.25;107;88;77;62;;;;;
142.27;107;88;77;62;;;;;
143.29;107;88;77;62;;;;;
144.24;107;88;77;62;;;;;
145.24;107;88;77;62;;;;;
146.23;102;82;71;61;;;;;
147.16;102;82;71;61;;;;;
148.08;102;82;71;61;;;;;
148.90;102;82;71;61;;;;;
149.69;102;82;71;61;;;;;
150.41;109;89;76;76;;;;;
151.25;109;89;76;76;;;;;
152.13;109;89;76;76;;;;;
153.03;109;89;76;76;;;;;
153.90;109;89;76;76;;;;;
154.76;121;99;89;69;;;;;
155.59;121;99;89;69;;;;;
156.39;121;99;89;69;;;;;
157.14;121;99;89;69;;;;;
157.86;121;99;89;69;;;;;
158.56;114;93;86;81;;;;;
159.22;114;93;86;81;;;;;
159.88;114;93;86;81;;;;;
160.53;114;93;86;81;;;;;
161.16;114;93;86;81;;;;;
161.74;101;86;80;95;;;;;
162.31;101;86;80;95;;;;;
162.88;101;86;80;95;;;;;
163.47;101;86;80;95;;;;;
164.10;101;86;80;95;;;;;
165.01;113;91;80;84;;;;;
165.98;113;91;80;84;;;;;
166.90;113;91;80;84;;;;;
167.86;113;91;80;84;;;;;
168.83;113;91;80;84;;;;;
169.81;110;89;76;64;;;;;
170.78;110;89;76;64;;;;;
171.75;110;89;76;64;;;;;
172.69;110;89;76;64;;;;;
173.62;110;89;76;64;;;;;
174.59;107;85;72;63;;;;;
175.53;107;85;72;63;;;;;
176.38;107;85;72;63;;;;;
177.27;107;85;72;63;;;;;
178.27;107;85;72;63;;;;;
