"Time [s]";"Beat Sys [mmHg]";"Beat Mean [mmHg]";"Beat Dia [mmHg]";"Beat HR [bpm]";"NBP Sys [mmHg]";"NBP Dia [mmHg]";"Event";"Height Offset [cm]";
0.00;;;;;;;"Optimize Signal Quality";;
0.00;;;;;;;"Optimize Signal Quality";;
0.00;;;;;;;"Optimize Signal Quality";;
0.00;;;;;;;"Optimize Signal Quality";;
0.00;;;;;;;"Optimize Signal Quality";;
0.00;;;;;;;"Optimize Signal Quality";;
0.00;;;;;;;"Optimize Signal Quality";;
0.00;;;;;;;"Optimize Signal Quality";;
0.00;;;;;;;"Optimize Signal Quality";;
0.00;;;;;;;"Optimize Signal Quality";;
0.00;;;;;;;"Optimize Signal Quality";;
0.00;;;;;;;"Optimize Signal Quality";;
0.00;;;;;;;"Optimize Signal Quality";;
0.00;;;;;;;"Optimize Signal Quality";;
16.71;;;;;;;"Optimize Signal Quality";;
26.71;;;;;;;"Optimize Signal Quality";;
35.71;;;;;;;"Optimize Signal Quality";;
40.43;125;98;87;81;;;;;
41.02;125;98;87;81;;;;;
41.66;125;98;87;81;;;;;
42.37;125;98;87;81;;;;;
43.00;125;98;87;81;;;;;
43.66;129;102;88;89;;;;;
44.32;129;102;88;89;;;;;
45.04;129;102;88;89;;;;;
45.71;129;102;88;89;;;;;
46.31;129;102;88;89;;;;;
46.91;129;103;89;95;;;;;
47.54;129;103;89;95;;;;;
48.24;129;103;89;95;;;;;
48.96;129;103;89;95;;;;;
49.62;129;103;89;95;;;;;
50.32;127;101;89;88;;;;;
51.03;127;101;89;88;;;;;
51.76;127;101;89;88;;;;;
52.48;127;101;89;88;;;;;
53.13;127;101;89;88;;;;;
53.73;121;95;83;92;;;;;
54.31;121;95;83;92;;;;;
54.94;121;95;83;92;;;;;
55.62;121;95;83;92;;;;;
56.35;121;95;83;92;;;;;
57.00;123;99;86;90;;;;;
57.66;123;99;86;90;;;;;
58.41;123;99;86;90;;;;;
59.21;123;99;86;90;;;;;
59.96;123;99;86;90;;;;;
60.62;119;93;80;85;;;;;
61.31;119;93;80;85;;;;;
62.04;119;93;80;85;;;;;
62.75;119;93;80;85;;;;;
63.41;119;93;80;85;;;;;
64.01;117;90;78;91;;;;;
64.61;117;90;78;91;;;;;
65.28;117;90;78;91;;;;;
66.01;117;90;78;91;;;;;
66.74;117;90;78;91;;;;;
67.37;119;94;81;89;;;;;
67.99;119;94;81;89;;;;;
68.67;119;94;81;89;;;;;
69.44;119;94;81;89;;;;;
70.21;119;94;81;89;;;;;
70.93;120;92;79;83;;;;;
71.56;120;92;79;83;;;;;
72.17;120;92;79;83;;;;;
72.77;120;92;79;83;;;;;
73.39;120;92;79;83;;;;;
74.07;123;97;83;92;;;;;
74.80;123;97;83;92;;;;;
75.46;123;97;83;92;;;;;
76.11;123;97;83;92;;;;;
76.80;123;97;83;92;;;;;
77.50;122;97;83;88;;;;;
78.19;122;97;83;88;;;;;
78.83;122;97;83;88;;;;;
79.46;122;97;83;88;;;;;
80.08;122;97;83;88;;;;;
80.75;121;95;81;92;;;;;
81.46;121;95;81;92;;;;;
82.18;121;95;81;92;;;;;
82.85;121;95;81;92;;;;;
83.56;121;95;81;92;;;;;
84.27;120;93;79;85;;;;;
84.95;120;93;79;85;;;;;
85.61;120;93;79;85;;;;;
86.28;120;93;79;85;;;;;
86.94;120;93;79;85;;;;;
87.58;118;91;77;91;;;;;
88.19;118;91;77;91;;;;;
88.79;118;91;77;91;;;;;
89.43;118;91;77;91;;;;;
90.16;118;91;77;91;;;;;
90.32;;;;;117;80;"internal";;
90.94;120;94;80;85;;;;;
91.65;120;94;80;85;;;;;
92.30;120;94;80;85;;;;;
93.04;120;94;80;85;;;;;
93.81;120;94;80;85;;;;;
94.52;117;89;76;83;;;;;
95.18;117;89;76;83;;;;;
95.91;117;89;76;83;;;;;
96.69;117;89;76;83;;;;;
97.43;117;89;76;83;;;;;
98.10;117;89;76;84;;;;;
98.82;117;89;76;84;;;;;
