"Time [s]";"Beat Sys [mmHg]";"Beat Mean [mmHg]";"Beat Dia [mmHg]";"Beat HR [bpm]";"NBP Sys [mmHg]";"NBP Dia [mmHg]";"Event";"Height Offset [cm]";
18.68;;;;;;;"Optimize Signal Quality";;
28.68;;;;;;;"Optimize Signal Quality";;
38.68;;;;;;;"Optimize Signal Quality";;
43.56;104;89;80;85;;;;;
44.27;104;89;80;85;;;;;
44.91;104;89;80;85;;;;;
45.57;104;89;80;85;;;;;
46.24;104;89;80;85;;;;;
46.93;103;87;79;88;;;;;
47.67;103;87;79;88;;;;;
48.42;103;87;79;88;;;;;
49.17;103;87;79;88;;;;;
49.84;103;87;79;88;;;;;
50.52;101;88;79;87;;;;;
51.20;101;88;79;87;;;;;
51.94;101;88;79;87;;;;;
52.72;101;88;79;87;;;;;
53.44;101;88;79;87;;;;;
54.15;98;84;76;83;;;;;
54.88;98;84;76;83;;;;;
55.61;98;84;76;83;;;;;
56.32;98;84;76;83;;;;;
56.97;98;84;76;83;;;;;
57.60;97;82;73;89;;;;;
58.28;97;82;73;89;;;;;
58.92;97;82;73;89;;;;;
59.62;97;82;73;89;;;;;
60.29;97;82;73;89;;;;;
61.00;100;87;79;87;;;;;
61.69;100;87;79;87;;;;;
62.38;100;87;79;87;;;;;
63.04;100;87;79;87;;;;;
63.64;100;87;79;87;;;;;
64.28;98;86;78;93;;;;;
64.90;98;86;78;93;;;;;
71.68;64;64;64;-0;;;;;
79.83;91;82;76;85;;;;;
80.56;91;82;76;85;;;;;
81.23;91;82;76;85;;;;;
81.89;91;82;76;85;;;;;
82.54;91;82;76;85;;;;;
83.16;100;89;82;92;;;;;
83.77;100;89;82;92;;;;;
84.40;100;89;82;92;;;;;
85.06;100;89;82;92;;;;;
85.78;100;89;82;92;;;;;
86.60;108;94;84;84;;;;;
87.38;108;94;84;84;;;;;
88.22;108;94;84;84;;;;;
89.00;108;94;84;84;;;;;
89.70;108;94;84;84;;;;;
90.39;101;86;78;82;;;;;
91.05;101;86;78;82;;;;;
91.66;101;86;78;82;;;;;
92.27;101;86;78;82;;;;;
92.88;101;86;78;82;;;;;
93.51;106;93;83;95;;;;;
94.26;106;93;83;95;;;;;
95.11;106;93;83;95;;;;;
95.95;106;93;83;95;;;;;
96.77;106;93;83;95;;;;;
97.22;;;;;128;80;"internal";;
97.59;104;89;79;75;;;;;
98.37;104;89;79;75;;;;;
99.10;104;89;79;75;;;;;
99.75;104;89;79;75;;;;;
100.37;104;89;79;75;;;;;
101.04;98;82;73;88;;;;;
101.73;98;82;73;88;;;;;
102.44;98;82;73;88;;;;;
103.15;98;82;73;88;;;;;
103.84;98;82;73;88;;;;;
104.48;98;82;73;88;;;;;
105.15;98;82;73;88;;;;;
105.78;98;82;73;88;;;;;
