"Time [s]";"Beat Sys [mmHg]";"Beat Mean [mmHg]";"Beat Dia [mmHg]";"Beat HR [bpm]";"NBP Sys [mmHg]";"NBP Dia [mmHg]";"Event";"Height Offset [cm]";
25.05;;;;;;;"Optimize Signal Quality";;
34.05;;;;;;;"Optimize Signal Quality";;
43.05;;;;;;;"Optimize Signal Quality";;
48.47;91;77;67;83;;;;;
49.21;91;77;67;83;;;;;
49.92;91;77;67;83;;;;;
50.58;91;77;67;83;;;;;
51.20;91;77;67;83;;;;;
51.84;92;78;70;92;;;;;
52.50;92;78;70;92;;;;;
53.26;92;78;70;92;;;;;
54.12;92;78;70;92;;;;;
54.98;92;78;70;92;;;;;
55.81;97;82;74;74;;;;;
56.56;97;82;74;74;;;;;
57.24;97;82;74;74;;;;;
57.93;97;82;74;74;;;;;
58.65;97;82;74;74;;;;;
59.38;96;82;75;82;;;;;
66.05;59;59;59;-0;;;;;
74.79;74;68;64;86;;;;;
75.41;74;68;64;86;;;;;
76.01;74;68;64;86;;;;;
76.68;74;68;64;86;;;;;
77.38;74;68;64;86;;;;;
78.14;90;80;73;85;;;;;
78.94;90;80;73;85;;;;;
79.68;90;80;73;85;;;;;
80.36;90;80;73;85;;;;;
81.04;90;80;73;85;;;;;
81.71;99;84;78;86;;;;;
82.40;99;84;78;86;;;;;
83.10;99;84;78;86;;;;;
83.77;99;84;78;86;;;;;
84.39;99;84;78;86;;;;;
85.05;103;88;81;91;;;;;
85.76;103;88;81;91;;;;;
86.55;103;88;81;91;;;;;
87.35;103;88;81;91;;;;;
88.06;103;88;81;91;;;;;
88.72;102;87;80;85;;;;;
89.38;102;87;80;85;;;;;
90.05;102;87;80;85;;;;;
90.67;;;;;121;74;"internal";;
90.74;102;87;80;85;;;;;
91.44;102;87;80;85;;;;;
92.10;101;85;78;88;;;;;
92.76;101;85;78;88;;;;;
93.46;101;85;78;88;;;;;
94.19;101;85;78;88;;;;;
94.96;101;85;78;88;;;;;
95.67;98;82;75;83;;;;;
96.33;98;82;75;83;;;;;
96.97;98;82;75;83;;;;;
97.62;98;82;75;83;;;;;
98.30;98;82;75;83;;;;;
99.03;96;80;72;87;;;;;
99.77;96;80;72;87;;;;;
100.45;96;80;72;87;;;;;
101.05;;;;;;;"Optimize Signal Quality";;
101.13;96;80;72;87;;;;;
101.86;96;80;72;87;;;;;
102.55;96;80;72;85;;;;;
103.23;96;80;72;85;;;;;
103.86;96;80;72;85;;;;;
104.51;96;80;72;85;;;;;
105.18;96;80;72;85;;;;;
105.84;95;81;72;87;;;;;
106.60;95;81;72;87;;;;;
107.35;95;81;72;87;;;;;
108.03;95;81;72;87;;;;;
108.75;95;81;72;87;;;;;
109.50;94;79;70;84;;;;;
110.27;94;79;70;84;;;;;
111.03;94;79;70;84;;;;;
111.73;94;79;70;84;;;;;
112.41;94;79;70;84;;;;;
113.10;122;91;75;85;;;"NBPman";;
113.79;122;91;75;85;;;;;
114.48;122;91;75;85;;;;;
115.12;122;91;75;85;;;;;
115.75;122;91;75;85;;;;;
116.38;125;94;78;92;;;;;
117.04;125;94;78;92;;;;;
117.76;125;94;78;92;;;;;
118.53;125;94;78;92;;;;;
119.30;125;94;78;92;;;;;
119.98;124;92;76;84;;;;;
120.62;124;92;76;84;;;;;
121.26;124;92;76;84;;;;;
121.90;124;92;76;84;;;;;
122.55;124;92;76;84;;;;;
123.16;123;90;75;94;;;;;
123.79;123;90;75;94;;;;;
124.42;123;90;75;94;;;;;
125.08;123;90;75;94;;;;;
125.73;123;90;75;94;;;;;
126.36;125;92;76;94;;;;;
126.95;125;92;76;94;;;;;
127.54;125;92;76;94;;;;;
128.13;125;92;76;94;;;;;
128.71;125;92;76;94;;;;;
129.32;125;94;78;100;;;;;
129.95;125;94;78;100;;;;;
130.62;125;94;78;100;;;;;
131.33;125;94;78;100;;;;;
132.07;125;94;78;100;;;;;
132.83;122;88;72;83;;;;;
133.56;122;88;72;83;;;;;
134.21;122;88;72;83;;;;;
134.82;122;88;72;83;;;;;
135.41;122;88;72;83;;;;;
136.01;114;82;66;97;;;;;
136.61;114;82;66;97;;;;;
137.26;114;82;66;97;;;;;
137.94;114;82;66;97;;;;;
