"Time [s]";"Pressure [mmHg]";
0.00;0.00;
0.01;0.02;
0.02;0.00;
0.03;0.00;
0.04;0.00;
0.05;0.00;
0.06;0.00;
0.07;0.00;
0.08;0.00;
0.09;0.00;
0.10;0.00;
0.11;0.00;
0.12;0.00;
0.13;0.00;
0.14;0.00;
0.15;0.00;
0.16;0.00;
0.17;0.00;
0.18;0.00;
0.19;0.00;
0.20;0.00;
0.21;0.00;
0.22;0.00;
0.23;0.00;
0.24;0.00;
0.25;0.00;
0.26;0.00;
0.27;0.00;
0.28;0.00;
0.29;0.00;
0.30;0.00;
0.31;0.00;
0.32;0.00;
0.33;0.00;
0.34;0.00;
0.35;0.00;
0.36;0.00;
0.37;0.00;
0.38;0.00;
0.39;0.02;
0.40;0.02;
0.41;0.00;
0.42;0.00;
0.43;0.00;
0.44;0.00;
0.45;0.00;
0.46;0.00;
0.47;0.00;
0.48;0.00;
0.49;0.00;
0.50;0.00;
0.51;0.00;
0.52;0.00;
0.53;0.00;
0.54;0.00;
0.55;0.00;
0.56;0.00;
0.57;0.00;
0.58;0.00;
0.59;0.00;
0.60;0.00;
0.61;0.00;
0.62;0.00;
0.63;0.00;
0.64;0.00;
0.65;0.00;
0.66;0.00;
0.67;0.00;
0.68;0.00;
0.69;0.00;
0.70;0.00;
0.71;0.00;
0.72;0.00;
0.73;0.00;
0.74;0.00;
0.75;0.00;
0.76;0.00;
0.77;0.00;
0.78;0.00;
0.79;0.00;
0.80;0.00;
0.81;0.00;
0.82;0.00;
0.83;0.00;
0.84;0.11;
0.85;0.00;
0.86;0.00;
0.87;0.00;
0.88;0.00;
0.89;0.00;
0.90;0.00;
0.91;0.02;
0.92;0.00;
0.93;0.00;
0.94;0.03;
0.95;0.00;
0.96;0.05;
0.97;0.06;
0.98;0.02;
0.99;0.00;
1.00;0.00;
1.01;0.00;
1.02;0.00;
1.03;0.20;
1.04;0.00;
1.05;0.00;
1.06;0.00;
1.07;0.00;
1.08;0.00;
1.09;0.00;
1.10;0.00;
1.11;0.00;
1.12;0.00;
1.13;0.00;
1.14;0.00;
1.15;0.00;
1.16;0.00;
1.17;0.00;
1.18;0.00;
1.19;0.00;
1.20;0.00;
1.21;0.00;
1.22;0.00;
1.23;0.00;
1.24;0.00;
1.25;0.00;
1.26;0.00;
1.27;0.00;
1.28;0.03;
1.29;0.00;
1.30;0.00;
1.31;0.00;
1.32;0.00;
1.33;0.00;
1.34;0.02;
1.35;0.00;
1.36;0.02;
1.37;0.00;
1.38;0.03;
1.39;0.00;
1.40;0.00;
1.41;0.00;
1.42;0.00;
1.43;0.00;
1.44;0.00;
1.45;0.00;
1.46;0.00;
1.47;0.00;
1.48;0.00;
1.49;0.00;
1.50;0.00;
1.51;0.00;
1.52;0.00;
1.53;0.05;
1.54;0.00;
1.55;0.00;
1.56;0.00;
1.57;0.00;
1.58;0.00;
1.59;0.00;
1.60;0.00;
1.61;0.00;
1.62;0.00;
1.63;0.00;
1.64;0.00;
1.65;0.00;
1.66;0.00;
1.67;0.00;
1.68;0.00;
1.69;0.00;
1.70;0.00;
1.71;0.00;
1.72;0.02;
1.73;0.00;
1.74;0.00;
1.75;0.03;
1.76;0.00;
1.77;0.05;
1.78;0.02;
1.79;0.00;
1.80;0.00;
1.81;0.00;
1.82;0.16;
1.83;0.00;
1.84;0.00;
1.85;0.03;
1.86;0.00;
1.87;0.00;
1.88;0.00;
1.89;0.00;
1.90;0.00;
1.91;0.00;
1.92;0.00;
1.93;0.00;
1.94;0.00;
1.95;0.00;
1.96;0.00;
1.97;0.00;
1.98;0.00;
1.99;0.00;
2.00;0.00;
2.01;0.00;
2.02;0.00;
2.03;0.00;
2.04;0.00;
2.05;0.00;
2.06;0.00;
2.07;0.03;
2.08;0.00;
2.09;0.00;
2.10;0.00;
2.11;0.02;
2.12;0.00;
2.13;0.00;
2.14;0.00;
2.15;0.14;
2.16;0.00;
2.17;0.00;
2.18;0.00;
2.19;0.00;
2.20;0.00;
2.21;0.00;
2.22;0.00;
2.23;0.00;
2.24;0.00;
2.25;0.05;
2.26;0.14;
2.27;0.00;
2.28;0.00;
2.29;0.00;
2.30;0.00;
2.31;0.00;
2.32;0.00;
2.33;0.00;
2.34;0.00;
2.35;0.00;
2.36;0.00;
2.37;0.00;
2.38;0.06;
2.39;0.00;
2.40;0.00;
2.41;0.00;
2.42;0.00;
2.43;0.12;
2.44;0.05;
2.45;0.00;
2.46;0.00;
2.47;0.00;
2.48;0.00;
2.49;0.00;
2.50;0.00;
2.51;0.00;
2.52;0.00;
2.53;0.00;
2.54;0.05;
2.55;0.00;
2.56;0.00;
2.57;0.00;
2.58;0.00;
2.59;0.00;
2.60;0.00;
2.61;0.05;
2.62;0.03;
2.63;0.00;
2.64;0.00;
2.65;0.00;
2.66;0.02;
2.67;0.00;
2.68;0.00;
2.69;0.03;
2.70;0.00;
2.71;0.02;
2.72;0.00;
2.73;0.00;
2.74;0.00;
2.75;0.00;
2.76;0.00;
2.77;0.00;
2.78;0.00;
2.79;0.00;
2.80;0.00;
2.81;0.00;
2.82;0.02;
2.83;0.03;
2.84;0.00;
2.85;0.00;
2.86;0.00;
2.87;0.06;
2.88;0.05;
2.89;0.14;
2.90;0.02;
2.91;0.00;
2.92;0.00;
2.93;0.00;
2.94;0.00;
2.95;0.02;
2.96;0.00;
2.97;0.00;
2.98;0.00;
2.99;0.00;
3.00;0.12;
3.01;0.02;
3.02;10.36;
3.03;23.30;
3.04;36.61;
3.05;47.92;
3.06;56.73;
3.07;64.52;
3.08;71.72;
3.09;78.39;
3.10;83.98;
3.11;86.80;
3.12;90.11;
3.13;93.39;
3.14;97.05;
3.15;100.06;
3.16;103.38;
3.17;107.12;
3.18;111.33;
3.19;115.44;
3.20;119.75;
3.21;124.62;
3.22;129.45;
3.23;134.19;
3.24;138.81;
3.25;142.88;
3.26;146.56;
3.27;149.73;
3.28;152.11;
3.29;154.05;
3.30;155.72;
3.31;156.92;
3.32;157.73;
3.33;158.27;
3.34;158.91;
3.35;159.27;
3.36;159.58;
3.37;159.77;
3.38;159.83;
3.39;159.84;
3.40;160.05;
3.41;160.00;
3.42;160.11;
3.43;160.19;
3.44;160.12;
3.45;160.30;
3.46;160.20;
3.47;160.17;
3.48;159.95;
3.49;160.19;
3.50;160.30;
3.51;160.25;
3.52;160.23;
3.53;160.19;
3.54;160.19;
3.55;160.17;
3.56;160.27;
3.57;160.17;
3.58;160.09;
3.59;160.12;
3.60;160.17;
3.61;160.25;
3.62;160.22;
3.63;160.20;
3.64;160.19;
3.65;160.09;
3.66;160.06;
3.67;160.08;
3.68;160.06;
3.69;160.05;
3.70;160.19;
3.71;160.16;
3.72;160.12;
3.73;159.95;
3.74;160.06;
3.75;160.00;
3.76;160.12;
3.77;160.05;
3.78;160.02;
3.79;159.95;
3.80;160.00;
3.81;159.80;
3.82;160.00;
3.83;159.89;
3.84;159.89;
3.85;159.89;
3.86;159.80;
3.87;159.77;
3.88;159.75;
3.89;159.53;
3.90;159.83;
3.91;159.58;
3.92;159.64;
3.93;159.67;
3.94;159.64;
3.95;159.69;
3.96;159.77;
3.97;159.56;
3.98;159.64;
3.99;159.62;
4.00;159.66;
4.01;159.56;
4.02;159.44;
4.03;159.53;
4.04;159.59;
4.05;159.47;
4.06;159.41;
4.07;159.47;
4.08;159.45;
4.09;159.45;
4.10;159.47;
4.11;159.39;
4.12;159.41;
4.13;159.17;
4.14;159.28;
4.15;159.23;
4.16;159.31;
4.17;159.38;
4.18;159.23;
4.19;159.33;
4.20;159.19;
4.21;159.28;
4.22;159.22;
4.23;159.22;
4.24;159.14;
4.25;159.38;
4.26;159.42;
4.27;159.36;
4.28;159.25;
4.29;159.14;
4.30;159.23;
4.31;159.08;
4.32;159.11;
4.33;159.11;
4.34;159.41;
4.35;159.20;
4.36;159.12;
4.37;159.06;
4.38;158.98;
4.39;159.09;
4.40;159.08;
4.41;158.97;
4.42;159.00;
4.43;158.94;
4.44;158.89;
4.45;158.88;
4.46;158.89;
4.47;158.92;
4.48;158.73;
4.49;158.91;
4.50;158.86;
4.51;158.84;
4.52;158.75;
4.53;158.91;
4.54;158.88;
4.55;158.83;
4.56;158.84;
4.57;158.59;
4.58;158.73;
4.59;158.80;
4.60;158.69;
4.61;158.72;
4.62;158.73;
4.63;158.73;
4.64;158.64;
4.65;158.53;
4.66;158.61;
4.67;158.62;
4.68;158.58;
4.69;158.52;
4.70;158.52;
4.71;158.58;
4.72;158.64;
4.73;158.41;
4.74;158.41;
4.75;158.55;
4.76;158.48;
4.77;158.52;
4.78;158.47;
4.79;158.44;
4.80;158.38;
4.81;158.38;
4.82;158.39;
4.83;158.31;
4.84;158.31;
4.85;158.38;
4.86;158.38;
4.87;158.42;
4.88;158.44;
4.89;158.31;
4.90;158.34;
4.91;158.30;
4.92;158.38;
4.93;158.33;
4.94;158.31;
4.95;158.38;
4.96;158.44;
4.97;158.20;
4.98;158.19;
4.99;158.31;
5.00;158.36;
5.01;158.27;
5.02;158.08;
5.03;158.20;
5.04;158.23;
5.05;158.28;
5.06;158.27;
5.07;157.98;
5.08;158.19;
5.09;158.11;
5.10;158.19;
5.11;158.11;
5.12;157.94;
5.13;158.05;
5.14;158.09;
5.15;157.84;
5.16;157.98;
5.17;157.95;
5.18;158.03;
5.19;157.98;
5.20;157.86;
5.21;157.84;
5.22;157.81;
5.23;157.81;
5.24;157.86;
5.25;157.77;
5.26;157.89;
5.27;157.92;
5.28;157.88;
5.29;157.75;
5.30;157.64;
5.31;157.75;
5.32;157.77;
5.33;157.78;
5.34;157.67;
5.35;157.72;
5.36;157.67;
5.37;157.64;
5.38;157.58;
5.39;157.61;
5.40;157.72;
5.41;157.70;
5.42;157.66;
5.43;157.59;
5.44;157.55;
5.45;157.56;
5.46;157.44;
5.47;157.56;
5.48;157.58;
5.49;157.50;
5.50;157.59;
5.51;157.59;
5.52;157.59;
5.53;157.56;
5.54;157.69;
5.55;157.66;
5.56;157.69;
5.57;157.62;
5.58;157.64;
5.59;157.58;
5.60;157.64;
5.61;157.61;
5.62;157.50;
5.63;157.56;
5.64;157.72;
5.65;157.64;
5.66;157.66;
5.67;157.61;
5.68;157.47;
5.69;157.56;
5.70;157.58;
5.71;157.48;
5.72;157.55;
5.73;157.55;
5.74;157.50;
5.75;157.48;
5.76;157.36;
5.77;157.45;
5.78;157.45;
5.79;157.50;
5.80;157.44;
5.81;157.39;
5.82;157.42;
5.83;157.45;
5.84;157.53;
5.85;157.45;
5.86;157.39;
5.87;157.44;
5.88;157.38;
5.89;157.30;
5.90;157.41;
5.91;157.16;
5.92;157.36;
5.93;157.73;
5.94;157.42;
5.95;157.50;
5.96;157.78;
5.97;157.31;
5.98;157.52;
5.99;157.45;
6.00;157.14;
6.01;157.58;
6.02;157.45;
6.03;157.12;
6.04;157.44;
6.05;157.84;
6.06;157.36;
6.07;157.11;
6.08;157.55;
6.09;157.59;
6.10;157.28;
6.11;157.11;
6.12;157.50;
6.13;157.33;
6.14;157.06;
6.15;157.17;
6.16;157.91;
6.17;157.62;
6.18;157.20;
6.19;157.00;
6.20;157.44;
6.21;157.42;
6.22;157.11;
6.23;157.09;
6.24;157.41;
6.25;157.58;
6.26;157.27;
6.27;157.20;
6.28;157.20;
6.29;157.75;
6.30;157.55;
6.31;157.44;
6.32;157.12;
6.33;157.28;
6.34;157.45;
6.35;157.22;
6.36;157.16;
6.37;157.47;
6.38;157.52;
6.39;157.30;
6.40;157.12;
6.41;157.38;
6.42;157.34;
6.43;157.12;
6.44;157.31;
6.45;157.61;
6.46;157.30;
6.47;157.05;
6.48;157.33;
6.49;157.53;
6.50;157.36;
6.51;157.16;
6.52;157.05;
6.53;157.45;
6.54;157.47;
6.55;157.33;
6.56;157.16;
6.57;157.30;
6.58;157.61;
6.59;157.36;
6.60;157.17;
6.61;157.33;
6.62;157.28;
6.63;157.33;
6.64;157.33;
6.65;156.00;
6.66;148.86;
6.67;139.70;
6.68;132.45;
6.69;125.77;
6.70;119.83;
6.71;115.56;
6.72;116.09;
6.73;117.55;
6.74;117.52;
6.75;116.70;
6.76;116.27;
6.77;116.77;
6.78;116.81;
6.79;116.95;
6.80;116.66;
6.81;116.44;
6.82;116.70;
6.83;116.75;
6.84;116.62;
6.85;116.70;
6.86;116.77;
6.87;116.72;
6.88;116.66;
6.89;116.78;
6.90;116.77;
6.91;116.70;
6.92;116.66;
6.93;116.81;
