b'0806a8\r\n'
b'ets Jun  8 2016 00:22:57\r\n'
b'\r\n'
b'rst:0x1 (POWERON_RESET),boot:0x1L\x95\x955\n'
b'clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00\r\n'
b'mode:DIO, clock div:1\r\n'
b'load:0x3fff0018,len:4\r\n'
b'load:0x3fff001c,len:1044\r\n'
b'load:0x40078000,len:10124\r\n'
b'load:0x40080400,len:5856\r\n'
b'entry 0x400806a8\r\n'
b'46,3463,59,70554,0,752,74,28396,20,586\r\n'
b'74,144,89,17683,14,550,105,28395,4,377\r\n'
b'105,3427,119,17649,7,756,135,28383,11,561\r\n'
b'135,121,150,17674,19,648,165,28405,0,353\r\n'
b'165,3414,180,17654,1,715,195,28385,6,576\r\n'
b'195,130,210,17648,0,645,225,28388,0,366\r\n'
b'225,3403,240,17642,0,683,255,28392,0,563\r\n'
b'255,134,270,17650,0,715,285,28385,3,365\r\n'
b'285,3391,300,17674,2,772,315,28401,0,601\r\n'
b'315,138,330,17677,15,722,345,28403,0,366\r\n'
b'345,3378,360,17669,0,798,375,28411,11,593\r\n'
b'375,144,390,17670,4,707,405,28431,14,357\r\n'
b'405,3367,421,17657,8,751,435,28409,21,557\r\n'
b'435,149,451,17652,1,679,465,28405,10,343\r\n'
b'465,3358,481,17633,0,673,495,28394,10,529\r\n'
b'495,157,511,17631,1,718,526,28399,13,296\r\n'
b'526,3267,541,17624,0,694,556,28378,0,468\r\n'
b'556,464,571,17644,0,790,586,28388,0,242\r\n'
b'586,3242,601,17656,34,733,616,28377,14,441\r\n'
b'616,464,631,17661,31,807,646,28378,0,248\r\n'
b'646,3175,661,17655,15,743,676,28380,0,425\r\n'
b'676,431,692,17654,15,804,706,28475,0,247\r\n'
b'706,3263,722,17656,18,695,736,28448,0,441\r\n'
b'736,433,752,17635,6,799,766,28426,2,277\r\n'
b'766,3219,782,17625,0,699,796,28393,16,484\r\n'
b'796,406,812,17654,9,855,826,28411,3,290\r\n'
b'826,3184,842,17652,0,757,856,28398,14,535\r\n'
b'856,487,872,17686,9,891,886,28396,8,365\r\n'
b'886,3157,902,17682,21,756,916,28382,9,631\r\n'
b'916,414,932,17653,22,897,947,28396,12,423\r\n'
b'947,2384,963,17668,10,728,977,28421,0,712\r\n'
b'977,1232,993,17663,17,856,1007,28448,0,539\r\n'
b'1007,2359,1023,17630,3,685,1037,28465,0,808\r\n'
