135,128,150,140410,0,7053,165,129381,0,5955
165,3797,180,140451,0,7119,195,129411,0,6075
195,144,210,140553,0,7157,225,129478,19,6013
225,3739,240,140674,11,7122,255,129496,27,6097
255,154,270,140798,17,7085,285,129491,30,6040
285,3723,301,140870,2,7034,316,129487,0,6097
316,778,331,140928,0,7011,346,129485,5,6039
346,3049,361,140976,0,7022,376,129464,0,6102
376,752,391,141031,0,7060,406,129401,0,6064
406,3024,421,141049,24,7022,436,129450,0,6153
436,769,451,141054,13,7018,466,129428,9,6072
466,3027,482,141100,17,6920,496,129396,16,6129
496,783,512,141149,0,6998,527,129397,12,6039
527,2576,542,141020,0,6987,557,129134,0,6026
557,1242,572,140592,8,7078,587,128714,0,5906
587,2544,602,140223,18,6969,617,128493,0,5933
617,1264,633,140084,22,7035,647,128509,0,5882
647,2531,663,140141,0,6923,677,128486,7,5930
677,1283,693,140298,0,7056,707,128529,25,5871
707,2570,723,140438,0,7052,737,128568,15,5899
737,1353,753,140559,18,7182,768,128571,0,5812
768,2018,783,140593,27,7095,798,128542,1,5842
798,1831,814,140525,9,7187,828,128551,0,5788
828,2001,844,140453,0,7055,858,128484,0,5892
858,1850,874,140427,0,7198,888,128440,1,5902
888,2023,904,140489,3,7151,918,128421,16,5934
918,1921,934,140633,11,7283,948,128456,19,5947
948,2017,964,140759,15,7172,978,128503,0,5981
978,1905,995,140845,10,7267,1009,128519,3,5972
1009,1431,1025,140900,9,7136,1039,128578,0,6011
1039,2457,1055,140951,1,7318,1069,128569,0,6042
1069,1446,1085,141018,10,7245,1099,128564,0,6114
1099,2534,1115,141055,19,7372,1129,128512,4,6115
1129,1429,1145,141065,32,7263,1159,128475,6,6137
1159,2507,1171,141078,24,7343,1184,128474,14,6077
1184,3792,1196,141144,53,7343,1209,128531,6,6133
1209,1405,1221,141189,48,7338,1235,128623,0,6141
1235,592,1251,141172,3,7419,1265,128431,0,6066
1265,3385,1281,140768,17,7352,1295,128071,0,6081
1295,609,1311,140291,16,7337,1325,127696,7,6007
1325,3340,1342,140017,13,7203,1355,127445,3,6049
1355,576,1367,140012,21,7131,1380,127537,1,6050
1380,3119,1392,140085,21,7223,1405,127605,30,5995
1405,3322,1417,140179,9,7274,1430,127720,7,6054
1430,849,1442,140279,4,7219,1456,127802,6,6035
1456,1051,1472,140355,0,7327,1486,127816,0,5981
1486,2873,1502,140365,0,7196,1516,127873,0,6047
1516,1022,1528,140343,14,7193,1541,127771,0,6055
1541,3654,1553,140289,50,7255,1566,127741,0,6037
1566,2845,1578,140280,12,7270,1591,127714,0,6067
1591,429,1603,140290,1,7219,1616,127761,19,6094
1616,1103,1628,140330,30,7295,1641,127827,18,6056
1641,3834,1653,140416,17,7311,1666,127937,19,6037
1666,2873,1678,140508,0,7305,1692,128072,13,6072
1692,167,1704,140587,22,7163,1717,128014,0,6079
1717,1582,1729,140672,46,7296,1742,128048,0,6062
1742,4095,1754,140726,39,7333,1767,128081,0,6076
1767,2325,1779,140776,1,7381,1792,128082,0,6138
1792,210,1804,140817,24,7273,1817,128020,10,6128
1817,1677,1829,140838,20,7385,1842,128065,10,6111
1842,4095,1854,140839,0,7377,1867,128090,28,6109
1867,2304,1880,140857,0,7332,1892,128167,4,6143
1892,149,1905,140902,0,7240,1918,128167,6,6140
1918,2180,1930,140974,32,7388,1943,128193,0,6095
1943,4095,1955,141040,12,7424,1968,128232,0,6121
1968,1786,1980,141083,10,7411,1993,128135,5,6137
1993,240,2005,140824,16,7295,2018,127816,0,6120
2018,2262,2030,140391,12,7339,2043,127398,4,6046
