b'0806a8\r\n'
b'ets Jun  8 2016 00:22:57\r\n'
b'\r\n'
b'rst:0x1 (POWERON_RESET),boot:0x1\xc2\x95\x955\n'
b'clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00\r\n'
b'mode:DIO, clock div:1\r\n'
b'load:0x3fff0018,len:4\r\n'
b'load:0x3fff001c,len:1044\r\n'
b'load:0x40078000,len:10124\r\n'
b'load:0x40080400,len:5856\r\n'
b'entry 0x400806a8\r\n'
b'46,105,59,70496,23,561,75,28395,21,586\r\n'
b'75,3456,89,17689,30,757,105,28391,0,471\r\n'
b'105,126,119,17630,26,552,135,28393,6,565\r\n'
b'135,3455,150,17642,0,754,165,28388,0,453\r\n'
b'165,128,180,17620,1,531,195,28391,0,583\r\n'
b'195,3456,210,17648,0,768,225,28391,0,434\r\n'
b'225,139,240,17628,0,589,255,28386,0,582\r\n'
b'255,3445,270,17652,0,805,285,28394,0,483\r\n'
b'285,143,300,17653,6,604,315,28417,0,620\r\n'
b'315,3420,330,17676,9,820,345,28408,11,484\r\n'
b'345,148,360,17640,14,617,375,28397,10,574\r\n'
b'375,3407,390,17632,18,802,405,28406,1,476\r\n'
b'405,153,421,17634,16,580,435,28396,6,561\r\n'
b'435,3398,451,17636,0,768,465,28400,17,436\r\n'
b'465,159,481,17615,0,595,496,28395,0,508\r\n'
b'496,3435,511,17646,0,807,526,28390,0,412\r\n'
b'526,133,541,17653,0,627,556,28378,12,454\r\n'
b'556,3427,571,17660,15,862,586,28387,0,375\r\n'
b'586,138,601,17654,17,655,616,28395,19,402\r\n'
b'616,3409,631,17645,11,874,646,28383,0,381\r\n'
b'646,144,662,17616,20,675,676,28463,0,400\r\n'
b'676,3403,692,17631,0,838,706,28438,0,389\r\n'
b'706,149,722,17608,0,670,736,28423,0,424\r\n'
b'736,3391,752,17613,0,868,766,28391,21,415\r\n'
b'766,159,782,17638,0,686,796,28394,18,457\r\n'
b'796,3379,812,17647,0,941,826,28405,27,494\r\n'
b'826,167,842,17651,19,714,856,28414,12,501\r\n'
b'856,3379,872,17667,22,934,886,28407,14,596\r\n'
b'886,172,902,17642,17,728,917,28389,14,614\r\n'
b'917,3405,933,17629,0,914,947,28414,0,697\r\n'
b'947,144,963,17656,1,692,977,28433,2,676\r\n'
b'977,3391,993,17614,7,922,1007,28476,0,776\r\n'
b'1007,151,1023,17629,0,702,1037,28469,0,746\r\n'
b'1037,3380,1053,17644,0,944,1067,28474,0,873\r\n'
b'1067,163,1083,17652,0,762,1097,28455,0,820\r\n'
b'1097,3379,1113,17668,4,970,1127,28438,0,945\r\n'
b'1127,165,1143,17643,26,732,1157,28427,4,853\r\n'
b'1157,3374,1173,17641,9,940,1187,28404,15,969\r\n'
b'1187,165,1199,17631,3,753,1212,28336,9,1010\r\n'
b'1212,621,1224,17653,17,710,1237,28357,12,853\r\n'
b'1237,3348,1249,17644,46,903,1262,28388,32,740\r\n'
b'1262,2925,1274,17637,43,941,1287,28391,15,979\r\n'
b'1287,170,1299,17645,15,759,1312,28419,16,1014\r\n'
b'1312,739,1324,17635,15,793,1338,28470,14,824\r\n'
b'1338,3383,1354,17646,0,995,1368,28405,2,947\r\n'
b'1368,165,1384,17646,14,832,1398,28440,8,768\r\n'
b'1398,3382,1414,17654,12,999,1428,28452,5,938\r\n'
b'1428,158,1444,17646,6,855,1458,28472,0,755\r\n'
b'1458,3376,1470,17623,8,985,1483,28370,0,709\r\n'
b'1483,2127,1495,17652,29,959,1508,28379,0,932\r\n'
b'1508,160,1520,17641,61,782,1533,28365,0,974\r\n'
b'1533,1634,1545,17648,49,863,1558,28355,8,788\r\n'
b'1558,3369,1570,17643,15,1020,1583,28311,0,728\r\n'
b'1583,2096,1595,17641,9,1048,1608,28328,7,956\r\n'
b'1608,176,1620,17624,27,853,1633,28339,14,1008\r\n'
b'1633,1658,1645,17641,4,950,1658,28358,10,784\r\n'
b'1658,3419,1670,17627,8,1060,1683,28359,29,737\r\n'
b'1683,2205,1695,17628,13,1036,1708,28399,3,956\r\n'
b'1708,171,1721,17646,10,835,1733,28380,9,980\r\n'
b'1733,1466,1746,17632,0,932,1759,28386,8,747\r\n'
b'1759,3377,1771,17635,52,1041,1784,28389,5,696\r\n'
b'1784,1108,1796,17648,45,1012,1809,28381,0,933\r\n'
b'1809,160,1821,17649,21,840,1834,28374,1,929\r\n'
b'1834,2705,1846,17645,1,999,1859,28370,0,700\r\n'
b'1859,3376,1871,17654,25,1095,1884,28392,0,684\r\n'
b'1884,901,1896,17628,11,1050,1909,28375,2,901\r\n'
b'1909,179,1921,17638,18,901,1934,28374,0,950\r\n'
b'1934,2878,1946,17630,4,1038,1959,28362,0,733\r\n'
b'1959,3455,1971,17649,4,1097,1984,28332,0,725\r\n'
b'1984,1051,1997,17626,0,968,2009,28392,26,962\r\n'
b'2009,138,2022,17623,2,835,2034,28396,25,952\r\n'
b'2034,2539,2047,17620,0,1029,2059,28391,27,737\r\n'
b'2059,3435,2072,17623,0,1089,2084,28407,23,726\r\n'
b'2084,1161,2097,17617,0,979,2109,28376,8,938\r\n'
b'2109,128,2122,17632,0,907,2134,28386,0,948\r\n'
b'2134,2621,2147,17606,9,1084,2159,28399,7,710\r\n'
b'2159,3423,2172,17580,14,1150,2185,28390,6,709\r\n'
b'2185,183,2197,17638,6,983,2210,28358,6,904\r\n'
b'2210,167,2222,17644,0,898,2235,28369,0,888\r\n'
b'2235,3517,2248,17643,3,1080,2260,28371,35,642\r\n'
b'2260,3470,2273,17653,0,1113,2285,28400,56,702\r\n'
b'2285,130,2298,17623,12,923,2310,28378,33,853\r\n'
b'2310,118,2323,17636,0,860,2335,28385,17,881\r\n'
b'2335,3499,2348,17644,0,1077,2360,28389,10,654\r\n'
b'2360,3440,2373,17640,0,1131,2385,28406,15,726\r\n'
b'2385,128,2398,17621,9,968,2410,28392,28,892\r\n'
b'2410,124,2423,17610,21,910,2435,28393,19,883\r\n'
b'2435,3486,2448,17563,12,1135,2460,28395,12,647\r\n'
b'2460,3426,2473,17572,3,1157,2485,28391,7,734\r\n'
b'2485,134,2498,17595,20,944,2510,28401,11,873\r\n'
b'2510,130,2524,17645,0,902,2535,28377,0,872\r\n'
b'2535,3471,2549,17686,6,1083,2560,28391,0,618\r\n'
b'2560,3414,2574,17725,0,1124,2585,28391,0,715\r\n'
b'2585,143,2599,17709,0,910,2611,28384,0,834\r\n'
b'2611,113,2624,17640,0,928,2636,28389,19,810\r\n'
b'2636,3473,2649,17601,0,1150,2661,28392,25,566\r\n'
b'2661,3440,2674,17617,0,1166,2686,28399,21,688\r\n'
b'2686,123,2699,17583,7,949,2711,28402,54,779\r\n'
b'2711,119,2724,17574,18,955,2736,28386,37,789\r\n'
b'2736,3463,2749,17584,20,1136,2761,28390,32,557\r\n'
b'2761,3431,2775,17609,0,1153,2791,28373,9,795\r\n'
b'2791,123,2805,17652,13,927,2821,28396,5,578\r\n'
b'2821,3426,2835,17658,0,1106,2851,28411,13,791\r\n'
b'2851,128,2865,17682,0,947,2881,28398,21,572\r\n'
b'2881,3419,2895,17731,0,1138,2911,28396,17,800\r\n'
b'2911,134,2925,17714,4,986,2941,28394,22,536\r\n'
b'2941,3408,2955,17693,17,1110,2966,28388,0,699\r\n'
b'2966,140,2980,17640,26,874,2991,28396,0,758\r\n'
b'2991,141,3005,17654,2,920,3017,28396,9,682\r\n'
b'3017,3458,3030,17600,18,987,3042,28373,36,503\r\n'
b'3042,3299,3056,17648,0,932,3072,28377,0,718\r\n'
b'3072,421,3086,17669,0,756,3102,28379,6,479\r\n'
b'3102,3291,3116,17676,0,819,3132,28375,0,707\r\n'
b'3132,397,3146,17717,0,707,3162,28378,0,501\r\n'
b'3162,3321,3176,17689,0,752,3192,28381,0,725\r\n'
b'3192,383,3206,17700,9,650,3222,28386,1,510\r\n'
b'3222,3370,3236,17668,20,665,3252,28392,0,733\r\n'
b'3252,352,3266,17631,6,603,3282,28397,11,498\r\n'
b'3282,3325,3297,17634,5,605,3312,28405,16,722\r\n'
b'3312,368,3327,17620,0,564,3342,28391,17,492\r\n'
b'3342,3306,3357,17619,0,566,3372,28397,13,683\r\n'
b'3372,355,3387,17624,0,575,3402,28375,0,458\r\n'
b'3402,3300,3417,17636,0,596,3433,28375,20,640\r\n'
b'3433,1280,3447,17710,0,647,3463,28372,0,415\r\n'
b'3463,2512,3477,17689,8,615,3493,28375,0,601\r\n'
b'3493,1230,3507,17656,29,685,3523,28371,2,389\r\n'
b'3523,2476,3537,17635,8,626,3553,28362,0,587\r\n'
b'3553,1243,3568,17630,15,717,3583,28376,0,373\r\n'
b'3583,2512,3598,17635,0,585,3613,28374,0,609\r\n'
b'3613,1212,3628,17619,0,702,3643,28390,3,415\r\n'
b'3643,2544,3658,17639,0,619,3673,28390,0,618\r\n'
b'3673,1141,3688,17627,0,749,3703,28413,11,398\r\n'
b'3703,2595,3718,17654,0,659,3733,28422,11,629\r\n'
b'3733,1168,3748,17652,23,770,3763,28420,28,398\r\n'
b'3763,2533,3778,17663,17,625,3793,28416,12,594\r\n'
b'3793,1162,3808,17666,19,761,3823,28392,20,386\r\n'
b'3823,2447,3839,17636,3,590,3854,28399,4,595\r\n'
b'3854,2393,3869,17639,3,727,3884,28407,0,336\r\n'
b'3884,1407,3899,17623,9,571,3914,28397,0,544\r\n'
b'3914,2336,3929,17629,0,717,3944,28392,1,318\r\n'
b'3944,1463,3959,17633,0,609,3974,28378,2,540\r\n'
b'3974,2199,3989,17649,8,808,4004,28395,0,307\r\n'
b'4004,1508,4019,17675,29,633,4034,28385,7,528\r\n'
b'4034,2282,4049,17641,26,796,4064,28412,0,322\r\n'
b'4064,1426,4079,17646,14,617,4094,28408,0,525\r\n'
b'4094,2291,4110,17621,7,785,4124,28389,5,292\r\n'
b'4124,1362,4140,17631,0,617,4154,28385,15,501\r\n'
b'4154,2374,4170,17608,0,809,4184,28392,9,292\r\n'
b'4184,1426,4200,17621,2,663,4214,28383,6,487\r\n'
b'4214,2244,4230,17633,2,864,4244,28394,22,279\r\n'
b'4244,1517,4260,17649,10,695,4275,28392,0,447\r\n'
b'4275,3471,4290,17657,24,902,4305,28384,0,251\r\n'
b'4305,245,4320,17656,17,706,4335,28373,11,434\r\n'
b'4335,3453,4350,17619,27,879,4365,28382,0,266\r\n'
b'4365,160,4381,17644,1,689,4395,28450,0,472\r\n'
b'4395,3439,4411,17616,16,839,4425,28454,0,347\r\n'
b'4425,154,4441,17618,0,684,4455,28449,0,574\r\n'
b'4455,3423,4471,17648,0,907,4485,28434,0,474\r\n'
b'4485,164,4501,17649,0,739,4515,28404,3,674\r\n'
b'4515,3419,4531,17655,8,934,4545,28380,6,567\r\n'
b'4545,176,4561,17652,34,723,4575,28395,13,810\r\n'
b'4575,3427,4591,17667,18,929,4605,28390,13,670\r\n'
b'4605,245,4622,17633,24,725,4635,28384,4,893\r\n'
b'4635,3410,4647,17638,35,837,4660,28475,9,664\r\n'
b'4660,3343,4672,17635,39,882,4686,28453,11,771\r\n'
b'4686,151,4702,17641,0,712,4716,28438,0,909\r\n'
b'4716,3398,4732,17634,0,932,4746,28458,0,797\r\n'
b'4746,160,4762,17636,6,764,4776,28465,0,959\r\n'
b'4776,3395,4792,17641,24,953,4806,28470,0,822\r\n'
b'4806,166,4822,17666,23,757,4836,28449,0,990\r\n'
b'4836,3398,4852,17651,5,971,4866,28445,0,896\r\n'
b'4866,167,4882,17656,8,746,4896,28422,0,1005\r\n'
b'4896,3391,4908,17640,0,897,4921,28329,5,752\r\n'
b'4921,3345,4933,17637,18,936,4946,28337,10,905\r\n'
b'4946,167,4958,17635,65,805,4971,28351,21,1027\r\n'
b'4971,169,4983,17647,22,756,4996,28345,15,977\r\n'
b'4996,3375,5008,17644,0,963,5021,28370,11,744\r\n'
b'5021,3344,5033,17659,11,1005,5046,28426,14,903\r\n'
b'5046,180,5058,17628,21,844,5071,28461,9,975\r\n'
b'5071,187,5083,17666,10,806,5097,28475,2,935\r\n'
b'5097,3393,5113,17657,10,1011,5127,28417,1,864\r\n'
b'5127,160,5143,17658,12,784,5157,28441,0,876\r\n'
b'5157,3387,5169,17648,0,966,5182,28376,0,691\r\n'
b'5182,3312,5194,17658,32,973,5207,28369,1,857\r\n'
b'5207,160,5219,17624,60,801,5232,28371,0,943\r\n'
b'5232,309,5244,17665,36,760,5257,28366,0,895\r\n'
b'5257,3370,5269,17629,37,1005,5282,28360,0,710\r\n'
b'5282,3345,5294,17622,10,1047,5307,28335,0,900\r\n'
b'5307,181,5319,17643,25,845,5332,28321,2,972\r\n'
b'5332,272,5344,17646,0,864,5357,28337,16,850\r\n'
