"Time [s]";"Beat Sys [mmHg]";"Beat Mean [mmHg]";"Beat Dia [mmHg]";"Beat HR [bpm]";"NBP Sys [mmHg]";"NBP Dia [mmHg]";"Event";"Height Offset [cm]";
17.72;;;;;;;"Optimize Signal Quality";;
28.72;;;;;;;"Optimize Signal Quality";;
38.72;;;;;;;"Optimize Signal Quality";;
44.10;103;87;78;84;;;;;
44.87;103;87;78;84;;;;;
45.59;103;87;78;84;;;;;
46.31;103;87;78;84;;;;;
47.04;103;87;78;84;;;;;
47.75;101;85;77;84;;;;;
48.41;101;85;77;84;;;;;
49.07;101;85;77;84;;;;;
49.74;101;85;77;84;;;;;
50.43;101;85;77;84;;;;;
51.09;97;81;73;89;;;;;
51.75;97;81;73;89;;;;;
52.41;97;81;73;89;;;;;
53.09;97;81;73;89;;;;;
53.79;97;81;73;89;;;;;
54.50;96;80;72;87;;;;;
55.22;96;80;72;87;;;;;
55.91;96;80;72;87;;;;;
56.57;96;80;72;87;;;;;
57.21;96;80;72;87;;;;;
57.85;92;76;67;91;;;;;
58.50;92;76;67;91;;;;;
59.23;92;76;67;91;;;;;
60.02;92;76;67;91;;;;;
60.91;92;76;67;91;;;;;
61.79;96;79;69;73;;;;;
62.67;96;79;69;73;;;;;
63.50;96;79;69;73;;;;;
64.30;96;79;69;73;;;;;
65.02;96;79;69;73;;;;;
65.71;87;71;63;80;;;;;
66.40;87;71;63;80;;;;;
67.09;87;71;63;80;;;;;
67.78;87;71;63;80;;;;;
68.46;87;71;63;80;;;;;
69.15;93;76;68;86;;;;;
69.88;93;76;68;86;;;;;
70.66;93;76;68;86;;;;;
71.46;93;76;68;86;;;;;
72.24;93;76;68;86;;;;;
72.97;93;76;68;80;;;;;
73.69;93;76;68;80;;;;;
74.41;93;76;68;80;;;;;
75.16;93;76;68;80;;;;;
75.92;93;76;68;80;;;;;
76.65;97;80;71;81;;;;;
77.36;97;80;71;81;;;;;
78.08;97;80;71;81;;;;;
78.83;97;80;71;81;;;;;
79.62;97;80;71;81;;;;;
80.40;102;85;76;78;;;;;
81.15;102;85;76;78;;;;;
81.85;102;85;76;78;;;;;
82.19;;;;;124;59;"internal";;
82.55;102;85;76;78;;;;;
83.27;102;85;76;78;;;;;
83.99;100;82;73;83;;;;;
84.70;100;82;73;83;;;;;
85.37;100;82;73;83;;;;;
86.02;100;82;73;83;;;;;
86.71;100;82;73;83;;;;;
87.39;100;82;73;88;;;;;
88.13;100;82;73;88;;;;;
88.91;100;82;73;88;;;;;
89.72;100;82;73;88;;;;;
90.56;100;82;73;88;;;;;
91.38;99;81;72;75;;;;;
92.17;99;81;72;75;;;;;
92.72;;;;;;;"Optimize Signal Quality";;
92.95;99;81;72;75;;;;;
93.74;99;81;72;75;;;;;
94.48;99;81;72;75;;;;;
95.20;99;81;72;79;;;;;
95.92;99;81;72;79;;;;;
96.69;99;81;72;79;;;;;
97.49;98;80;71;79;;;;;
98.45;98;80;71;79;;;;;
99.37;97;82;72;71;;;;;
100.28;97;82;72;71;;;;;
101.20;97;82;72;71;;;;;
102.09;97;82;72;71;;;;;
102.86;97;82;72;71;;;;;
103.62;88;73;64;74;;;;;
104.37;88;73;64;74;;;;;
104.56;;;;;;;"NBPcal";;
105.13;118;78;53;77;;;;;
105.85;118;78;53;77;;;;;
106.59;118;78;53;77;;;;;
107.30;118;78;53;77;;;;;
107.98;118;78;53;77;;;;;
108.66;104;64;42;86;;;;;
109.34;104;64;42;86;;;;;
110.03;104;64;42;86;;;;;
110.73;104;64;42;86;;;;;
111.47;104;64;42;86;;;;;
112.22;112;74;51;83;;;;;
112.95;112;74;51;83;;;;;
113.71;112;74;51;83;;;;;
114.48;112;74;51;83;;;;;
115.23;112;74;51;83;;;;;
116.01;112;72;49;79;;;;;
116.71;112;72;49;79;;;;;
117.43;112;72;49;79;;;;;
118.13;112;72;49;79;;;;;
118.82;112;72;49;79;;;;;
119.52;117;79;55;85;;;;;
119.98;;;;;;;"Custom1";;
120.21;117;79;55;85;;;;;
120.87;117;79;55;85;;;;;
121.53;117;79;55;85;;;;;
122.16;117;79;55;85;;;;;
122.82;121;84;59;92;;;;;
123.54;121;84;59;92;;;;;
124.28;121;84;59;92;;;;;
125.08;121;84;59;92;;;;;
125.86;121;84;59;92;;;;;
126.62;114;74;49;79;;;;;
127.29;114;74;49;79;;;;;
127.95;114;74;49;79;;;;;
128.57;114;74;49;79;;;;;
129.19;114;74;49;79;;;;;
129.78;106;66;42;94;;;;;
130.42;106;66;42;94;;;;;
131.02;106;66;42;94;;;;;
131.68;106;66;42;94;;;;;
132.49;106;66;42;94;;;;;
133.34;124;89;64;80;;;;;
