"Time [s]";"Beat Sys [mmHg]";"Beat Mean [mmHg]";"Beat Dia [mmHg]";"Beat HR [bpm]";"NBP Sys [mmHg]";"NBP Dia [mmHg]";"Event";"Height Offset [cm]";
46.76;;;;;;;"Changed Finger";;
62.65;;;;;;;"Optimize Signal Quality";;
72.65;;;;;;;"Optimize Signal Quality";;
82.65;;;;;;;"Optimize Signal Quality";;
88.10;116;90;75;70;;;;;
88.99;116;90;75;70;;;;;
89.91;116;90;75;70;;;;;
90.86;116;90;75;70;;;;;
91.81;116;90;75;70;;;;;
92.66;111;85;72;67;;;;;
93.51;111;85;72;67;;;;;
94.38;111;85;72;67;;;;;
95.28;111;85;72;67;;;;;
96.19;111;85;72;67;;;;;
97.05;109;83;71;68;;;;;
97.92;109;83;71;68;;;;;
98.81;109;83;71;68;;;;;
99.71;109;83;71;68;;;;;
100.57;109;83;71;68;;;;;
101.43;108;82;70;69;;;;;
102.31;108;82;70;69;;;;;
103.22;108;82;70;69;;;;;
104.13;108;82;70;69;;;;;
104.98;108;82;70;69;;;;;
105.84;107;80;67;69;;;;;
106.72;107;80;67;69;;;;;
107.62;107;80;67;69;;;;;
108.47;107;80;67;69;;;;;
109.31;107;80;67;69;;;;;
110.18;108;80;67;69;;;;;
111.08;108;80;67;69;;;;;
111.96;108;80;67;69;;;;;
112.79;108;80;67;69;;;;;
113.67;108;80;67;69;;;;;
114.58;108;80;67;68;;;;;
115.52;108;80;67;68;;;;;
116.38;108;80;67;68;;;;;
117.23;108;80;67;68;;;;;
118.10;108;80;67;68;;;;;
118.98;106;79;66;68;;;;;
119.85;106;79;66;68;;;;;
120.69;106;79;66;68;;;;;
121.57;106;79;66;68;;;;;
122.50;106;79;66;68;;;;;
123.40;106;79;67;67;;;;;
124.24;106;79;67;67;;;;;
125.09;106;79;67;67;;;;;
125.96;106;79;67;67;;;;;
126.86;106;79;67;67;;;;;
127.70;103;77;65;69;;;;;
128.52;103;77;65;69;;;;;
129.38;103;77;65;69;;;;;
130.27;103;77;65;69;;;;;
131.16;103;77;65;69;;;;;
131.97;101;76;64;70;;;;;
132.78;101;76;64;70;;;;;
133.04;;;;;111;80;"internal";;
133.61;101;76;64;70;;;;;
134.47;101;76;64;70;;;;;
135.35;101;76;64;70;;;;;
136.15;101;76;64;72;;;;;
136.95;101;76;64;72;;;;;
137.79;101;76;64;72;;;;;
138.66;101;76;64;72;;;;;
139.53;101;76;64;72;;;;;
140.34;103;77;65;72;;;;;
141.17;103;77;65;72;;;;;
142.02;103;77;65;72;;;;;
142.86;103;77;65;72;;;;;
143.65;;;;;;;"Optimize Signal Quality";;
143.67;103;77;65;72;;;;;
144.49;103;77;65;72;;;;;
145.22;103;77;65;72;;;;;
145.94;103;77;65;72;;;;;
146.38;;;;;;;"Custom1";;
146.67;103;77;65;72;;;;;
147.44;103;77;65;72;;;;;
148.27;103;77;65;76;;;;;
149.04;104;78;66;76;;;;;
149.84;104;78;66;76;;;;;
150.67;104;78;66;76;;;;;
151.53;104;78;66;76;;;;;
152.43;102;74;61;71;;;;;
153.29;102;74;61;71;;;;;
154.07;102;74;61;71;;;;;
154.89;102;74;61;71;;;;;
155.74;102;74;61;71;;;;;
156.13;;;;;;;"NBPcal";;
156.63;111;90;80;70;;;;;
157.52;111;90;80;70;;;;;
158.33;111;90;80;70;;;;;
159.16;111;90;80;70;;;;;
160.04;111;90;80;70;;;;;
160.98;111;91;81;68;;;;;
161.94;111;91;81;68;;;;;
162.82;111;91;81;68;;;;;
163.70;111;91;81;68;;;;;
164.59;111;91;81;68;;;;;
165.49;109;88;79;67;;;;;
166.32;109;88;79;67;;;;;
167.12;109;88;79;67;;;;;
167.91;109;88;79;67;;;;;
168.66;109;88;79;67;;;;;
169.41;111;93;84;77;;;;;
170.16;111;93;84;77;;;;;
170.94;111;93;84;77;;;;;
171.70;111;93;84;77;;;;;
172.50;111;93;84;77;;;;;
173.25;115;95;85;78;;;;;
174.06;115;95;85;78;;;;;
174.80;115;95;85;78;;;;;
175.57;115;95;85;78;;;;;
176.31;115;95;85;78;;;;;
177.09;112;91;80;79;;;;;
177.84;112;91;80;79;;;;;
178.61;112;91;80;79;;;;;
179.38;112;91;80;79;;;;;
180.13;112;91;80;79;;;;;
180.89;106;86;77;79;;;;;
181.60;106;86;77;79;;;;;
182.35;106;86;77;79;;;;;
183.05;106;86;77;79;;;;;
183.77;106;86;77;79;;;;;
184.48;105;85;76;83;;;;;
185.21;105;85;76;83;;;;;
185.96;105;85;76;83;;;;;
186.67;105;85;76;83;;;;;
187.41;105;85;76;83;;;;;
188.14;102;83;75;82;;;;;
188.89;102;83;75;82;;;;;
189.67;102;83;75;82;;;;;
190.45;102;83;75;82;;;;;
191.23;102;83;75;82;;;;;
191.99;97;78;70;78;;;;;
192.71;97;78;70;78;;;;;
193.43;97;78;70;78;;;;;
194.15;97;78;70;78;;;;;
194.88;97;78;70;78;;;;;
195.62;99;81;73;82;;;;;
196.37;99;81;73;82;;;;;
197.12;99;81;73;82;;;;;
197.86;99;81;73;82;;;;;
198.65;99;81;73;82;;;;;
199.47;103;84;75;77;;;;;
200.32;103;84;75;77;;;;;
201.18;103;84;75;77;;;;;
202.04;103;84;75;77;;;;;
202.86;103;84;75;77;;;;;
203.64;102;83;75;74;;;;;
204.39;102;83;75;74;;;;;
205.15;102;83;75;74;;;;;
205.93;102;83;75;74;;;;;
206.77;102;83;75;74;;;"Custom1";;
207.66;108;89;79;72;;;;;
208.57;108;89;79;72;;;;;
209.42;108;89;79;72;;;;;
